"","source","target","Annotation","Direction","Score"
"95","ACTA1","MMP7","catalyzed by","<-",1
"96","ACTA1","MMP8","catalyzed by","<-",1
"97","ACTA1","MMP9","catalyzed by","<-",1
"98","ACTA1","MYH1","complex; input","-",1
"99","ACTA1","MYH10","complex; input","-",1
"100","ACTA1","MYH11","complex; input","-",1
"101","ACTA1","MYH13","complex; input","-",1
"102","ACTA1","MYH2","complex; input","-",1
"103","ACTA1","MYH3","complex; input","-",1
"104","ACTA1","MYH4","complex; input","-",1
"105","ACTA1","MYH6","complex; input","-",1
"106","ACTA1","MYH7","complex; input","-",1
"107","ACTA1","MYH7B","complex; input","-",1
"108","ACTA1","MYH8","complex; input","-",1
"109","ACTA1","MYH9","complex; input","-",1
"110","ACTA1","MYL2","predicted","-",0.59
"111","ACTA1","NCOA3","predicted","-",0.64
"112","ACTA1","OCLN","predicted","-",0.64
"113","ACTA1","PPP1R9B","predicted","-",0.64
"114","ACTA1","RAC1","activated by","<-",1
"115","ACTA1","RAC2","activated by","<-",1
"116","ACTA1","RAC3","activated by","<-",1
"117","ACTA1","RHOG","activated by","<-",1
"118","ACTA1","RHOJ","activated by","<-",1
"119","ACTA1","RHOQ","activated by","<-",1
"120","ACTA1","SFN","predicted","-",0.77
"121","ACTA1","TNFAIP8","catalyzed by","<-",1
"122","ACTA1","TNNI1","predicted","-",0.64
"123","ACTA1","TNNI3","predicted","-",0.64
"124","ACTA1","TRIM63","predicted","-",0.64
"125","ACTA1","TTN","predicted","-",0.64
"126","ACTA1","UTRN","predicted","-",0.98
"127","ACTA2","MMP16","catalyzed by","<-",1
"128","ACTA2","MMP20","catalyzed by","<-",1
"129","ACTA2","TPM2","complex","-",1
"130","ACTB","COL16A1","complex; input","-",1
"131","ACTB","DPF1","complex","-",1
"132","ACTB","MMP16","catalyzed by","<-",1
"133","ACTB","MMP20","catalyzed by","<-",1
"134","ACTB","PFN4","PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association","<-",1
"135","ACTB","PTK2B","catalyzed by; complex; input","<-",1
"136","ACTB","RELA","complex; reaction","-",1
"137","ACTB","SYDE2","predicted","-",0.66
"138","ACTB","TWF1","predicted","-",0.98
"139","ACTB","UCHL5","complex; input","-",1
"140","ACTBL2","COL16A1","complex; input","-",1
"141","ACTBL2","MMP16","catalyzed by","<-",1
"142","ACTBL2","MMP20","catalyzed by","<-",1
"143","ACTBL2","PTK2B","catalyzed by; complex; input","<-",1
"144","ACTC1","MMP16","catalyzed by","<-",1
"145","ACTC1","MMP20","catalyzed by","<-",1
"146","ACTC1","TPM2","PPrel: binding/association","-",1
"147","ACTG1","COL16A1","complex; input","-",1
"148","ACTG1","DPF1","complex","-",1
"149","ACTG1","MMP16","catalyzed by","<-",1
"150","ACTG1","MMP20","catalyzed by","<-",1
"151","ACTG1","PFN4","PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association","<-",1
"152","ACTG1","PTK2B","catalyzed by; complex; input","<-",1
"153","ACTG1","SYDE2","predicted","-",0.66
"154","ACTG1","TWF1","predicted","-",1
"155","ACTG2","MMP16","catalyzed by","<-",1
"156","ACTG2","MMP20","catalyzed by","<-",1
"157","ACTG2","TPM2","complex","-",1
"158","ACTL6A","DPF1","complex","-",1
"159","ACTL6A","MYC","complex; inhibited by; input","|-",1
"160","ACTL6A","UCHL5","complex; input","-",1
"161","ACTL6B","DPF1","complex","-",1
"162","ACTN1","COL16A1","complex; input","-",1
"163","ACTN1","PIP4K2A","PPrel: compound","-",1
"164","ACTN1","PTK2B","catalyzed by; complex; input","<-",1
"165","ACTN1","TPM2","predicted","-",1
"166","ACTN1","TTN","predicted","-",0.64
"167","ACTN2","CAMK2A","complex; input","-",1
"168","ACTN2","COL16A1","complex; input","-",1
"169","ACTN2","PTK2B","catalyzed by; complex; input","<-",1
"170","ACTN2","RASGRF2","complex; input","-",1
"171","ACTN2","TPM2","complex","-",1
"172","ACTN2","TTN","complex","-",1
"173","ACTN3","COL16A1","complex; input","-",1
"174","ACTN3","PTK2B","catalyzed by; complex; input","<-",1
"175","ACTN3","TPM2","complex","-",1
"176","ACTN3","TTN","complex","-",1
"177","ACTN4","ALMS1","predicted","-",0.77
"178","ACTN4","COL16A1","complex; input","-",1
"179","ACTN4","NOS2","predicted","-",0.54
"180","ACTN4","PIP4K2A","PPrel: compound","-",1
"181","ACTN4","PTK2B","catalyzed by; complex; input","<-",1
"182","ACTN4","RELA","predicted","-",0.99
"183","ACTN4","TPM2","predicted","-",0.67
"184","ACTN4","USP6NL","complex; input","-",1
"185","ACTR10","GALNT2","complex; input","-",1
"186","ACTR1A","ALMS1","complex","-",1
"187","ACTR1A","BCL2L1","predicted","-",0.54
"188","ACTR1A","GALNT2","complex; input","-",1
"189","ACTR2","AMPH","complex; input","-",1
"190","ACTR2","MMP16","catalyzed by","<-",1
"191","ACTR2","MMP20","catalyzed by","<-",1
"192","ACTR3","AMPH","complex; input","-",1
"193","ACTR5","UCHL5","complex; input","-",1
"194","ACTR8","UCHL5","complex; input","-",1
"195","ACVR1","BMP6","PPrel: activated by; input","<-",1
"196","ACVR1","BMP8B","PPrel: activated by; input","<-",1
"197","ACVR1","MAPK11","PPrel: inhibition, indirect effect","-|",1
"198","ACVR1B","BMP6","input","-",1
"199","ACVR1B","BMP8B","input","-",1
"200","ACVR1C","BMP6","input","-",1
"201","ACVR1C","BMP8B","input","-",1
"202","ACVR2A","BMP6","PPrel: activated by; input","<-",1
"203","ACVR2A","BMP8B","PPrel: activated by; input","<-",1
"204","ACVR2B","BMP6","PPrel: activated by; input","<-",1
"205","ACVR2B","BMP8B","PPrel: activated by; input","<-",1
"206","ACVRL1","BMP6","input","-",1
"207","ACVRL1","BMP8B","input","-",1
"208","ADAM15","SH3RF1","predicted","-",0.64
"209","ADAM22","ADAM23","complex; input","-",1
"210","ADAM22","CACNG2","complex","-",1
"211","ADAM22","CACNG3","complex","-",1
"212","ADAM22","CACNG4","complex","-",1
"213","ADAM22","CACNG8","complex","-",1
"214","ADAM22","DLG4","complex","-",1
"215","ADAM22","EPS8","predicted","-",0.64
"216","ADAM22","LGI1","complex; input","-",1
"217","ADAM22","LGI2","complex; input","-",1
"218","ADAM22","LGI3","complex; input","-",1
"219","ADAM22","LGI4","complex; input","-",1
"220","ADAMTS13","F8","predicted","-",0.64
"221","ADAMTS16","MYC","expression regulated by","<-",1
"222","ADCY1","CAMK2A","PPrel: inhibited by","|-",1
"223","ADCY1","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"224","ADCY10","GNAI1","PPrel: inhibited by","|-",1
"225","ADCY2","CAMK2A","PPrel: inhibited by","|-",1
"226","ADCY2","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"227","ADCY3","CAMK2A","PPrel: inhibited by; PPrel: inhibited by, phosphorylated by","|-",1
"228","ADCY3","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"229","ADCY4","CAMK2A","PPrel: inhibited by","|-",1
"230","ADCY4","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"231","ADCY5","CAMK2A","PPrel: inhibited by","|-",1
"232","ADCY5","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"233","ADCY6","CAMK2A","PPrel: inhibited by","|-",1
"234","ADCY6","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"235","ADCY7","CAMK2A","PPrel: inhibited by","|-",1
"236","ADCY7","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"237","ADCY8","CAMK2A","PPrel: inhibited by","|-",1
"238","ADCY8","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"239","ADCY9","CAMK2A","PPrel: inhibited by","|-",1
"240","ADCY9","GNAI1","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction","-",1
"241","ADORA1","GNAI1","PPrel: activation; complex; input","->",1
"242","ADORA2A","ADRA2C","reaction","-",1
"243","ADORA2A","GNAI1","complex; input","-",1
"244","ADORA2B","ADRA2C","reaction","-",1
"245","ADORA2B","GNAI1","complex; input","-",1
"246","ADORA3","GNAI1","PPrel: activation; complex; input","->",1
"247","ADRA1A","GNAI1","complex; input","-",1
"248","ADRA1B","CCL11","complex; reaction","-",1
"249","ADRA1B","GNAI1","complex; input","-",1
"250","ADRA1D","GNAI1","complex; input","-",1
"251","ADRA2A","ADRA2C","predicted","-",0.98
"252","ADRA2A","GNAI1","complex; input","-",1
"253","ADRA2B","GNAI1","complex; input","-",1
"254","ADRA2C","ARRB1","complex; input","-",1
"255","ADRA2C","ARRB2","complex; input","-",1
"256","ADRA2C","CLTA","catalyzed by","<-",1
"257","ADRA2C","CLTB","catalyzed by","<-",1
"258","ADRA2C","CLTC","catalyzed by","<-",1
"259","ADRA2C","CLTCL1","catalyzed by","<-",1
"260","ADRA2C","EIF2B1","predicted","-",0.77
"261","ADRA2C","GNA11","PPrel: activation","->",1
"262","ADRA2C","GNA12","PPrel: activation","->",1
"263","ADRA2C","GNA13","PPrel: activation","->",1
"264","ADRA2C","GNAI1","complex; input","-",1
"265","ADRA2C","GNAI2","complex; input","-",1
"266","ADRA2C","GNAI3","complex; input","-",1
"267","ADRA2C","GNAO1","predicted","-",0.64
"268","ADRA2C","GNAQ","PPrel: activation","->",1
"269","ADRA2C","GNAT3","complex; input","-",1
"270","ADRA2C","GNAZ","complex; input","-",1
"271","ADRA2C","GNB1","complex; input","-",1
"272","ADRA2C","GNG12","complex; input","-",1
"273","ADRA2C","GNG2","complex; input","-",1
"274","ADRA2C","GNG3","complex; input","-",1
"275","ADRA2C","GNG4","complex; input","-",1
"276","ADRA2C","GNG5","complex; input","-",1
"277","ADRA2C","GNG7","complex; input","-",1
"278","ADRA2C","GNG8","complex; input","-",1
"279","ADRA2C","GNGT1","complex; input","-",1
"280","ADRA2C","GNGT2","complex; input","-",1
"281","ADRA2C","GPSM1","inhibited by","|-",1
"282","ADRA2C","GPSM3","inhibited by","|-",1
"283","ADRA2C","GRK1","catalyzed by","<-",1
"284","ADRA2C","GRK4","catalyzed by","<-",1
"285","ADRA2C","GRK5","catalyzed by","<-",1
"286","ADRA2C","GRK6","catalyzed by","<-",1
"287","ADRA2C","GRK7","catalyzed by","<-",1
"288","ADRA2C","P2RY2","reaction","-",1
"289","ADRA2C","SFTPB","activate","->",1
"290","ADRA2C","SFTPC","activate","->",1
"291","ADRA2C","TRPC6","PPrel: activation, indirect effect","->",1
"292","ADRB1","GNAI1","PPrel: activation","->",1
"293","ADRB2","AMPH","complex; input","-",1
"294","ADRB2","CCL11","complex; reaction","-",1
"295","ADRB2","GNAI1","PPrel: activation","->",1
"296","ADRB3","GNAI1","PPrel: activation","->",1
"297","ADRM1","UCHL5","complex; input; predicted","-",1
"298","AEBP2","MYC","expression regulated by","<-",1
"299","AGER","PLCE1","PPrel: activation, indirect effect","->",1
"300","AGER","RELA","GErel: expression by; activate","<->",1
"301","AGFG1","AMPH","complex; input","-",1
"302","AGR2","APP","predicted","-",0.64
"303","AGR2","BCL11A","expression regulated by","<-",1
"304","AGR2","CD34","predicted","-",0.64
"305","AGR2","EGFR","predicted","-",0.64
"306","AGR2","MEF2C","expression regulated by","<-",1
"307","AGR2","STAT3","expression regulated by","<-",1
"308","AGR2","TRAF2","predicted","-",0.64
"309","AGR2","UBQLN1","predicted","-",0.64
"310","AGRN","B3GAT2","catalyzed by","<-",1
"311","AGRN","LAMC1","complex; input","-",1
"312","AGRN","LAMC2","complex; input","-",1
"313","AGRN","MYC","expression regulated by","<-",1
"314","AGT","GNAI1","complex; input","-",1
"315","AGT","MYC","expression regulated by","<-",1
"316","AGTR2","CCL11","complex; reaction","-",1
"317","AGTR2","GNAI1","complex; input","-",1
"318","AHCTF1","CDC20","complex; input","-",1
"319","AHCY","MYC","expression regulated by","<-",1
"320","AHI1","ALMS1","complex; input","-",1
"321","AHR","ID2","predicted","-",0.92
"322","AHR","TGS1","reaction","-",1
"323","AHRR","TGS1","activated by; inhibit","<-|",1
"324","AHSG","BMP6","complex; input","-",1
"325","AHSP","HBA1","reaction","-",1
"326","AIFM1","BCL2L1","reaction","-",1
"327","AIFM1","HIST2H2AA3","PPrel: binding/association","-",1
"328","AIFM1","NOS2","predicted","-",0.64
"329","AKAP5","CAMK2A","catalyzed by","<-",1
"330","AKAP8L","RELA","predicted","-",0.64
"331","AKAP9","ALMS1","complex","-",1
"332","AKR1B1","RELA","expression regulated by","<-",1
"333","AKR1B10","NOS2","predicted","-",0.64
"334","AKR1C3","MYC","expression regulated by","<-",1
"335","AKT1","BCL2L1","PPrel: activation; activate","->",1
"336","AKT1","CLIP3","predicted","-",1
"337","AKT1","GNAI1","activated by","<-",1
"338","AKT1","IL2RB","activated by","<-",1
"339","AKT1","MAPK11","PPrel: inhibited by","|-",1
"340","AKT1","MST1","activate","->",1
"341","AKT1","NOS2","PPrel: activation, phosphorylation","->",1
"342","AKT1","RELA","PPrel: activation, indirect effect; PPrel: indirect effect; expression regulated by","<->",1
"343","AKT1","SH3RF1","predicted","-",0.64
"344","AKT1","SMO","activated by","<-",1
"345","AKT2","BCL2L1","PPrel: activation","->",1
"346","AKT2","CLIP3","predicted","-",1
"347","AKT2","MAPK11","PPrel: inhibited by","|-",1
"348","AKT2","NOS2","PPrel: activation, phosphorylation","->",1
"349","AKT2","RELA","PPrel: activation, indirect effect; PPrel: indirect effect","->",1
"350","AKT2","SH3RF1","predicted","-",0.64
"351","AKT3","BCL2L1","PPrel: activation","->",1
"352","AKT3","MAPK11","PPrel: inhibited by","|-",1
"353","AKT3","NOS2","PPrel: activation, phosphorylation","->",1
"354","AKT3","RELA","PPrel: activation, indirect effect; PPrel: indirect effect","->",1
"355","ALB","APOA1","predicted","-",0.58
"356","ALB","APOC1","predicted","-",0.58
"357","ALB","APOC2","predicted","-",0.58
"358","ALB","APOC3","predicted","-",0.58
"359","ALB","APOE","predicted","-",0.64
"360","ALB","CDC73","predicted","-",0.64
"361","ALB","CRYAA","predicted","-",0.64
"362","ALB","CRYAB","predicted","-",0.64
"363","ALB","DDB1","predicted","-",0.64
"364","ALB","F2","predicted","-",0.58
"365","ALB","FABP6","input","-",1
"366","ALB","FAM20A","activated by","<-",1
"367","ALB","FAM20C","activated by; catalyze; catalyzed by; complex; input","<->",1
"368","ALB","FGA","predicted","-",0.58
"369","ALB","FOXA3","predicted","-",0.64
"370","ALB","HBA1","predicted","-",0.64
"371","ALB","HNRNPA1","predicted","-",0.58
"372","ALB","HPX","input","-",1
"373","ALB","HSPA8","predicted","-",0.64
"374","ALB","KRT1","predicted","-",0.64
"375","ALB","LRP2","predicted","-",0.64
"376","ALB","PALB2","predicted","-",0.64
"377","ALB","RBP4","predicted","-",0.58
"378","ALB","SETX","predicted","-",0.64
"379","ALB","SLC10A1","catalyzed by","<-",1
"380","ALB","SLCO1A2","catalyzed by","<-",1
"381","ALB","SLCO1B1","catalyzed by","<-",1
"382","ALB","SLCO1B3","catalyzed by","<-",1
"383","ALB","SOD1","predicted","-",0.64
"384","ALB","TTR","predicted","-",0.58
"385","ALDH1A1","JUN","expression regulated by","<-",1
"386","ALDH1A1","NOS2","predicted","-",0.64
"387","ALDH1A1","TLX1","expression regulated by","<-",1
"388","ALDH3B1","NOS2","predicted","-",0.64
"389","ALDOA","ALDOB","predicted","-",0.98
"390","ALDOA","TPM2","predicted","-",0.56
"391","ALDOB","ARNT","GErel: expression by","<-",1
"392","ALDOB","CREBBP","GErel: expression by","<-",1
"393","ALDOB","ENO2","predicted","-",0.56
"394","ALDOB","EP300","GErel: expression by","<-",1
"395","ALDOB","GAPDH","predicted","-",0.56
"396","ALDOB","GPD1","predicted","-",0.56
"397","ALDOB","GPD1L","predicted","-",0.56
"398","ALDOB","HIF1A","GErel: expression by","<-",1
"399","ALDOB","MYL3","predicted","-",0.56
"400","ALDOB","MYL4","predicted","-",0.56
"401","ALDOB","PGAM1","predicted","-",0.56
"402","ALDOB","PGAM2","predicted","-",0.56
"403","ALDOB","PGAM4","predicted","-",0.56
"404","ALDOB","PGK1","predicted","-",0.56
"405","ALDOB","PGK2","predicted","-",0.56
"406","ALDOB","TPM1","predicted","-",0.56
"407","ALDOC","CKMT1A","predicted","-",0.78
"408","ALMS1","AURKA","complex","-",1
"409","ALMS1","B9D1","complex; input","-",1
"410","ALMS1","B9D2","complex; input","-",1
"411","ALMS1","C2CD3","complex; input","-",1
"412","ALMS1","CC2D2A","complex; input","-",1
"413","ALMS1","CDK1","complex","-",1
"414","ALMS1","CDK5RAP2","complex","-",1
"415","ALMS1","CENPJ","complex","-",1
"416","ALMS1","CEP135","complex","-",1
"417","ALMS1","CEP152","complex","-",1
"418","ALMS1","CEP164","complex; input","-",1
"419","ALMS1","CEP192","complex","-",1
"420","ALMS1","CEP250","complex","-",1
"421","ALMS1","CEP290","complex","-",1
"422","ALMS1","CEP57","complex","-",1
"423","ALMS1","CEP63","complex","-",1
"424","ALMS1","CEP70","complex","-",1
"425","ALMS1","CEP72","complex","-",1
"426","ALMS1","CEP76","complex","-",1
"427","ALMS1","CEP78","complex","-",1
"428","ALMS1","CEP97","complex","-",1
"429","ALMS1","CETN2","complex","-",1
"430","ALMS1","CKAP5","complex","-",1
"431","ALMS1","CLASP1","complex","-",1
"432","ALMS1","CSNK1D","complex","-",1
"433","ALMS1","CSNK1E","complex","-",1
"434","ALMS1","DCTN1","complex","-",1
"435","ALMS1","DCTN2","complex","-",1
"436","ALMS1","DCTN3","complex","-",1
"437","ALMS1","DYNC1H1","complex","-",1
"438","ALMS1","DYNC1I2","complex","-",1
"439","ALMS1","DYNLL1","complex","-",1
"440","ALMS1","FBF1","complex; input","-",1
"441","ALMS1","FGFR1OP","complex","-",1
"442","ALMS1","HAUS1","complex","-",1
"443","ALMS1","HAUS2","complex","-",1
"444","ALMS1","HAUS3","complex","-",1
"445","ALMS1","HAUS4","complex","-",1
"446","ALMS1","HAUS5","complex","-",1
"447","ALMS1","HAUS6","complex","-",1
"448","ALMS1","HAUS7","complex","-",1
"449","ALMS1","HAUS8","complex","-",1
"450","ALMS1","HMMR","complex; input","-",1
"451","ALMS1","HSP90AA1","complex","-",1
"452","ALMS1","IQCB1","complex","-",1
"453","ALMS1","KIF24","complex","-",1
"454","ALMS1","MAPRE1","complex","-",1
"455","ALMS1","MARK4","complex; input","-",1
"456","ALMS1","MKS1","complex; input","-",1
"457","ALMS1","NDE1","complex","-",1
"458","ALMS1","NEDD1","complex; input","-",1
"459","ALMS1","NEK2","complex","-",1
"460","ALMS1","NINL","complex","-",1
"461","ALMS1","NME7","complex; input","-",1
"462","ALMS1","NPHP1","complex; input","-",1
"463","ALMS1","NPHP4","complex; input","-",1
"464","ALMS1","NUMA1","complex; input","-",1
"465","ALMS1","ODF2","complex","-",1
"466","ALMS1","OFD1","complex","-",1
"467","ALMS1","PAFAH1B1","complex","-",1
"468","ALMS1","PCM1","complex","-",1
"469","ALMS1","PCNT","complex","-",1
"470","ALMS1","PLK1","catalyzed by; complex; input","<-",1
"471","ALMS1","PLK4","complex","-",1
"472","ALMS1","PPP2R1A","complex","-",1
"473","ALMS1","PRKACA","complex","-",1
"474","ALMS1","PRKAR2B","complex","-",1
"475","ALMS1","RAB11A","complex; input","-",1
"476","ALMS1","RAB3IP","complex; input","-",1
"477","ALMS1","RAB8A","catalyze","->",1
"478","ALMS1","RPGRIP1L","complex; input","-",1
"479","ALMS1","SCLT1","complex; input","-",1
"480","ALMS1","SDCCAG8","complex","-",1
"481","ALMS1","SFI1","complex","-",1
"482","ALMS1","SSNA1","complex","-",1
"483","ALMS1","TCTN1","complex; input","-",1
"484","ALMS1","TCTN2","complex; input","-",1
"485","ALMS1","TCTN3","complex; input","-",1
"486","ALMS1","TMEM216","complex; input","-",1
"487","ALMS1","TMEM67","complex; input","-",1
"488","ALMS1","TPX2","complex; input","-",1
"489","ALMS1","TTBK2","complex; input","-",1
"490","ALMS1","TUBA1A","complex","-",1
"491","ALMS1","TUBA4A","complex","-",1
"492","ALMS1","TUBB","complex","-",1
"493","ALMS1","TUBG1","complex; input","-",1
"494","ALMS1","TUBG2","complex; input","-",1
"495","ALMS1","TUBGCP2","complex; input","-",1
"496","ALMS1","TUBGCP3","complex; input","-",1
"497","ALMS1","TUBGCP4","complex; input","-",1
"498","ALMS1","TUBGCP5","complex; input","-",1
"499","ALMS1","TUBGCP6","complex; input","-",1
"500","ALMS1","YWHAE","complex","-",1
"501","ALMS1","YWHAG","complex","-",1
"502","ALX4","FOXH1","predicted","-",0.54
"503","AMBRA1","IRGM","predicted","-",0.64
"504","AMH","RELA","GErel: expression by","<-",1
"505","AMHR2","BMP6","PPrel: activated by; input","<-",1
"506","AMHR2","BMP8B","PPrel: activated by; input","<-",1
"507","AMOT","MPDZ","PPrel: binding/association","-",1
"508","AMOTL1","MPDZ","PPrel: binding/association","-",1
"509","AMOTL2","MPDZ","PPrel: binding/association","-",1
"510","AMPH","ANK2","predicted","-",0.98
"511","AMPH","AP2A1","complex; input","-",1
"512","AMPH","AP2A2","complex; input","-",1
"513","AMPH","AP2B1","complex; input","-",1
"514","AMPH","AP2M1","complex; input","-",1
"515","AMPH","AP2S1","complex; input","-",1
"516","AMPH","APOB","complex; input","-",1
"517","AMPH","AREG","complex; input","-",1
"518","AMPH","ARPC1A","complex; input","-",1
"519","AMPH","ARPC2","complex; input","-",1
"520","AMPH","ARPC3","complex; input","-",1
"521","AMPH","ARPC4","complex; input","-",1
"522","AMPH","ARPC5","complex; input","-",1
"523","AMPH","ARRB1","complex; input","-",1
"524","AMPH","ARRB2","complex; input","-",1
"525","AMPH","AVP","complex; input","-",1
"526","AMPH","AVPR2","complex; input","-",1
"527","AMPH","BIN1","complex","-",1
"528","AMPH","BIN3","predicted","-",0.96
"529","AMPH","BTC","complex; input","-",1
"530","AMPH","CACNB1","predicted","-",0.54
"531","AMPH","CACNB2","predicted","-",0.54
"532","AMPH","CACNB3","predicted","-",0.54
"533","AMPH","CACNB4","predicted","-",0.54
"534","AMPH","CBL","complex; input","-",1
"535","AMPH","CD3D","complex; input","-",1
"536","AMPH","CD3G","complex; input","-",1
"537","AMPH","CD4","complex; input","-",1
"538","AMPH","CDK5","predicted","-",0.64
"539","AMPH","CFTR","complex; input","-",1
"540","AMPH","CHRM2","complex; input","-",1
"541","AMPH","CLTA","complex; input","-",1
"542","AMPH","CLTB","complex; input","-",1
"543","AMPH","CLTC","complex; input","-",1
"544","AMPH","CLTCL1","complex; input","-",1
"545","AMPH","CTTN","complex; input","-",1
"546","AMPH","DAB2","complex; input","-",1
"547","AMPH","DNAJC6","complex; input","-",1
"548","AMPH","DNM1","reaction","-",1
"549","AMPH","DNM2","complex; input","-",1
"550","AMPH","DNM3","predicted","-",0.99
"551","AMPH","DVL2","complex; input","-",1
