,"name","abbreviation","description","formula","subsystem","effect"
"63","r2514","r2514","Utilized transport","hdcea_c + crn_r ⇌ crn_c + hdcea_r","Transport, endoplasmic reticular",2.178564
"64","r2515","r2515","Utilized transport","crn_c + dlnlcg_r → dlnlcg_c + crn_r","Transport, endoplasmic reticular",2.178564
"65","HMR_2569","HMR_2569","HMR 2569","tmndnc_c ⇌ tmndnc_r","Transport, endoplasmic reticular",2.178564
"66","HMR_2702","HMR_2702","Carnitine O-Palmitoyltransferase","coa_c + M01724_c ⇌ crn_c + docoscoa_c","Fatty acid oxidation",2.178564
"67","STRDNCCPT1","STRDNCCPT1","Carnitine O-palmitoyltransferase","crn_c + strdnccoa_c ⇌ coa_c + strdnccrn_c","Fatty acid oxidation",2.178564
"68","TMNDNCCPT1","TMNDNCCPT1","Carnitine O-palmitoyltransferase","crn_c + tmndnccoa_c ⇌ coa_c + tmndnccrn_c","Fatty acid oxidation",2.178564
"69","C204CPT1","C204CPT1","Carnitine C20:4 transferase","crn_c + arachdcoa_c ⇌ coa_c + arachdcrn_c","Fatty acid oxidation",2.178564
"70","r1000","r1000","Facilitated diffusion","crn_c + hdcecrn_r → hdcecrn_c + crn_r","Transport, endoplasmic reticular",2.178564
"71","r0444","r0444","Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21","crn_r + hdcoa_r → coa_r + hdcecrn_r","Fatty acid oxidation",2.178564
"72","HMR_2851","HMR_2851","HMR 2851","crn_c + M01724_r ⇌ crn_r + M01724_c","Transport, endoplasmic reticular",2.178564
"73","HMR_2852","HMR_2852","Carnitine O-Acetyltransferase","coa_r + M01724_r ⇌ crn_r + docoscoa_r","Transport, endoplasmic reticular",2.178564
"74","HMR_2857","HMR_2857","HMR 2857","crn_c + M02637_r ⇌ crn_r + M02637_c","Transport, endoplasmic reticular",2.178564
"75","HMR_2859","HMR_2859","Carnitine O-Acetyltransferase","coa_r + M02637_r ⇌ crn_r + lnlncacoa_r","Transport, endoplasmic reticular",2.178564
"76","HMR_2861","HMR_2861","HMR 2861","strdnccrn_c + crn_r ⇌ crn_c + strdnccrn_r","Transport, endoplasmic reticular",2.178564
"77","HMR_2862","HMR_2862","Carnitine O-Acetyltransferase","crn_r + strdnccoa_r ⇌ coa_r + strdnccrn_r","Transport, endoplasmic reticular",2.178564
"78","HMR_2865","HMR_2865","HMR 2865","tmndnccrn_c + crn_r ⇌ crn_c + tmndnccrn_r","Transport, endoplasmic reticular",2.178564
"79","HMR_2866","HMR_2866","Carnitine O-Acetyltransferase","crn_r + tmndnccoa_r ⇌ coa_r + tmndnccrn_r","Transport, endoplasmic reticular",2.178564
"80","r1007","r1007","Facilitated diffusion","crn_c + arachdcrn_r ⇌ arachdcrn_c + crn_r","Transport, peroxisomal",2.178564
"81","r0441","r0441","Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21","crn_r + arachdcoa_r ⇌ coa_r + arachdcrn_r","Fatty acid oxidation",2.178564
"82","r0311","r0311","Palmitate:CoA ligase (AMP-forming) Fatty acid metabolism EC:6.2.1.3","coa_r + atp_r + hdca_r → amp_r + ppi_r + pmtcoa_r","Fatty acid oxidation",2.178564
"83","r1487","r1487","EC:6.2.1.3","coa_r + atp_r + hdcea_r → amp_r + ppi_r + hdcoa_r","Fatty acid oxidation",2.178564
"84","HMR_2973","HMR_2973","Long-Chain-Fatty-Acid Coenzyme A Ligase","coa_r + atp_r + docosac_r → amp_r + ppi_r + docoscoa_r","Fatty acid synthesis",2.178564
"85","RE3114R","RE3114R","Long-Chain-Fatty-Acid- Coenzyme A Ligase","coa_r + atp_r + lnlnca_r → amp_r + ppi_r + lnlncacoa_r","Fatty acid oxidation",2.178564
"86","HMR_2982","HMR_2982","Long-Chain-Fatty-Acid Coenzyme A Ligase","coa_r + atp_r + strdnc_r → amp_r + ppi_r + strdnccoa_r","Fatty acid synthesis",2.178564
"87","RE3132R","RE3132R","Long-Chain-Fatty-Acid- Coenzyme A Ligase","coa_r + atp_r + tmndnc_r → amp_r + ppi_r + tmndnccoa_r","Fatty acid oxidation",2.178564
"88","r1257","r1257","EC:6.2.1.3","coa_r + atp_r + lnlc_r → amp_r + ppi_r + lnlccoa_r","Fatty acid oxidation",2.178564
"89","r1260","r1260","EC:6.2.1.3","coa_r + atp_r + lnlncg_r → amp_r + ppi_r + lnlncgcoa_r","Fatty acid oxidation",2.178564
"90","HMR_2994","HMR_2994","Long-Chain-Fatty-Acid Coenzyme A Ligase","coa_r + atp_r + dlnlcg_r → amp_r + ppi_r + dlnlcgcoa_r","Fatty acid synthesis",2.178564
"91","r1262","r1262","EC:6.2.1.3","coa_r + arachd_r + atp_r → amp_r + ppi_r + arachdcoa_r","Fatty acid oxidation",2.178564
"92","DOCOSACTDr","DOCOSACTDr","Transport of Docosanoic Acid by Diffusion","docosac_c ⇌ docosac_r","Fatty acid oxidation",2.178564
"93","PHETA1m","PHETA1m","L-Phenylalanine:2-oxoglutarate aminotransferase, mitochondria","akg_m + phe__L_m ⇌ glu__L_m + phpyr_m","Phenylalanine metabolism",2.162181
"94","PHPYRtm","PHPYRtm","Transport of Phenylpyruvate via Proton Symport, Mitochondrial","h_m + phpyr_m ⇌ h_c + phpyr_c","Transport, mitochondrial",2.162181
"95","ACALDt","ACALDt","Acetaldehyde reversible transport","acald_e ⇌ acald_c","Transport, extracellular",2.161212
"96","EX_acald.e.","EX_acald_e","Acetaldehyde exchange","acald_e ⇌ ","Extracellular exchange",2.161212
"97","PHETA1","PHETA1","Phenylalanine transaminase","akg_c + phe__L_c ⇌ glu__L_c + phpyr_c","Phenylalanine metabolism",2.152482
"98","2OXOADPTm","2OXOADPTm","2-oxoadipate shuttle (cytosol/mitochondria)","2oxoadp_c + akg_m ⇌ akg_c + 2oxoadp_m","Tryptophan metabolism",2.08184
"99","AATAi","AATAi","2-Aminoadipate Transaminase, Irreversible","akg[c] + L2aadp[c] <=> 2oxoadp[c] + glu_L[c] ","Lysine metabolism",2.080445
"100","r0450","r0450","L-2-Aminoadipate:2-oxoglutarate aminotransferase Lysine biosynthesis / Lysine degradation EC:2.6.1.39","akg_m + L2aadp_m ⇌ 2oxoadp_m + glu__L_m","Lysine metabolism",2.07993
"101","2AMADPTm","2AMADPTm","L-2-aminoadipate shuttle (cytosol/mitochondria)","L2aadp_c + akg_m → akg_c + L2aadp_m","Lysine metabolism",2.078106
