"source"	"target"	"Annotation"	"Direction"	"Score"
"DCTN2"	"HLA-DRB1"	"input"	"-"	1
"DCTN2"	"HLA-DRB5"	"input"	"-"	1
"DCTN2"	"TMED3"	"complex; input"	"-"	1
"DCTN2"	"TSG101"	"predicted"	"-"	0.74
"DCTN2"	"YWHAE"	"complex"	"-"	1
"DCTN5"	"GOLGB1"	"input"	"-"	1
"DCTN5"	"HLA-DRA"	"input"	"-"	1
"DCTN5"	"HLA-DRB1"	"input"	"-"	1
"DCTN5"	"HLA-DRB5"	"input"	"-"	1
"DCTN5"	"TMED3"	"complex; input"	"-"	1
"DDB1"	"DDB2"	"complex"	"-"	1
"DDB1"	"GPS1"	"catalyzed by; complex"	"<-"	1
"DDB1"	"LIG1"	"catalyzed by"	"<-"	1
"DDB1"	"MTOR"	"predicted"	"-"	0.64
"DDB1"	"POLD1"	"complex; input"	"-"	1
"DDB1"	"PWP1"	"predicted"	"-"	0.58
"DDB1"	"RFC1"	"complex; input"	"-"	1
"DDB1"	"RFC2"	"complex; input"	"-"	1
"DDB1"	"SAMHD1"	"predicted"	"-"	0.64
"DDB1"	"SNW1"	"predicted"	"-"	0.73
"DDB1"	"STAT1"	"predicted"	"-"	0.64
"DDB1"	"TCEA1"	"complex; input"	"-"	1
"DDB2"	"GPS1"	"catalyzed by; complex"	"<-"	1
"DDB2"	"POLD1"	"complex; input"	"-"	1
"DDB2"	"RFC1"	"complex; input"	"-"	1
"DDB2"	"RFC2"	"complex; input"	"-"	1
"DENND1A"	"YWHAE"	"complex; input"	"-"	1
"DENND4A"	"RAB10"	"catalyze"	"->"	1
"DEPTOR"	"MTOR"	"PPrel: inhibition; complex"	"-|"	1
"DEPTOR"	"YWHAE"	"complex; input"	"-"	1
"DEPTOR"	"YWHAQ"	"complex; input"	"-"	1
"DNAJA2"	"HSPA5"	"predicted"	"-"	0.98
"DNAJB11"	"HSPA5"	"predicted"	"-"	0.99
"DNAJC3"	"HSPA5"	"predicted"	"-"	1
"DNAJC3"	"RPL10"	"activate"	"->"	1
"DNAJC3"	"RPS17"	"activate"	"->"	1
"DNAJC3"	"RPS27"	"activate"	"->"	1
"DNAJC5"	"SGTA"	"predicted"	"-"	0.54
"DR1"	"ELF1"	"expression regulated by"	"<-"	1
"DR1"	"POLE3"	"predicted"	"-"	0.98
"EDC3"	"LSM2"	"catalyze"	"->"	1
"EDC3"	"YWHAQ"	"predicted"	"-"	0.77
"EEA1"	"RAB5B"	"complex"	"-"	1
"EEA1"	"TOM1"	"predicted"	"-"	0.98
"EEF1B2"	"EEF1D"	"complex; input"	"-"	1
"EEF1D"	"HSP90B1"	"predicted"	"-"	0.73
"EIF2B2"	"EIF5"	"predicted"	"-"	0.99
"EIF3E"	"EIF5"	"PPrel: binding/association; activated by; input"	"<-"	1
"EIF3E"	"RPS17"	"complex; input"	"-"	1
"EIF3E"	"RPS27"	"complex; input"	"-"	1
"EIF5"	"RPS17"	"activate; input"	"->"	1
"EIF5"	"RPS27"	"activate; input"	"->"	1
"ELAVL1"	"FIP1L1"	"complex; input"	"-"	1
"ELAVL1"	"HNRNPD"	"complex; input"	"-"	1
"ELAVL1"	"HNRNPK"	"complex; input"	"-"	1
"ELAVL1"	"HNRNPR"	"complex; input"	"-"	1
"ELAVL1"	"LSM2"	"complex; input"	"-"	1
"ELAVL1"	"PABPN1"	"complex; input"	"-"	1
"ELAVL1"	"PCBP2"	"complex; input"	"-"	1
"ELAVL1"	"PQBP1"	"complex; input"	"-"	1
"ELAVL1"	"SNRPB2"	"complex; input"	"-"	1
"ELAVL1"	"SNRPC"	"complex; input"	"-"	1
"ELAVL1"	"SNW1"	"complex; input"	"-"	1
"ELAVL1"	"WBP11"	"complex; input"	"-"	1
"ELF1"	"RBM45"	"expression regulates"	"->"	1
"ELF1"	"REL"	"predicted"	"-"	0.64
"ELF1"	"RUNX1"	"complex; input"	"-"	1
"ELF1"	"SP1"	"predicted"	"-"	0.64
"EMSY"	"SMARCB1"	"predicted"	"-"	0.56
"ENO1"	"FHL1"	"predicted"	"-"	0.64
"ENO1"	"GAPDH"	"predicted"	"-"	1
"ENO1"	"TSG101"	"predicted"	"-"	0.64
"ENO1"	"YWHAE"	"predicted"	"-"	0.99
"ENO1"	"YWHAQ"	"predicted"	"-"	0.99
"ERP29"	"HSPA5"	"predicted"	"-"	0.77
"EXOC4"	"RAB10"	"activated by"	"<-"	1
"EXOC4"	"RALA"	"PPrel: activated by; catalyzed by; complex; input"	"<-"	1
"F11R"	"ITGAL"	"PPrel: binding/association; complex; input"	"-"	1
"F11R"	"RHOA"	"complex"	"-"	1
"FBXO7"	"GPS1"	"catalyzed by"	"<-"	1
"FEN1"	"LIG1"	"reaction"	"-"	1
"FEN1"	"POLD1"	"catalyze; complex; input"	"->"	1
"FEN1"	"RFC1"	"complex; input"	"-"	1
"FEN1"	"RFC2"	"complex; input"	"-"	1
"FHL1"	"STAT1"	"PPrel: ubiquitination"	"-"	1
"FHL1"	"STAT2"	"PPrel: ubiquitination"	"-"	1
"FIP1L1"	"HNRNPD"	"complex; input"	"-"	1
"FIP1L1"	"HNRNPK"	"complex; input"	"-"	1
"FIP1L1"	"HNRNPR"	"complex; input"	"-"	1
"FIP1L1"	"LSM2"	"complex; input"	"-"	1
"FIP1L1"	"PABPN1"	"complex; input"	"-"	1
"FIP1L1"	"PCBP2"	"complex; input"	"-"	1
"FIP1L1"	"PPP1CB"	"PPrel: binding/association"	"-"	1
"FIP1L1"	"PQBP1"	"complex; input"	"-"	1
"FIP1L1"	"SARNP"	"complex; input"	"-"	1
"FIP1L1"	"SNRPB2"	"complex; input"	"-"	1
"FIP1L1"	"SNRPC"	"input"	"-"	1
"FIP1L1"	"SNW1"	"complex; input"	"-"	1
"FIP1L1"	"THOC6"	"complex; input"	"-"	1
"FIP1L1"	"WBP11"	"complex; input"	"-"	1
"FKBP5"	"PYGL"	"predicted"	"-"	0.64
"FLOT1"	"FLOT2"	"predicted"	"-"	1
"FNBP1"	"IGF2R"	"complex; input"	"-"	1
"FNBP1"	"M6PR"	"complex; input"	"-"	1
"FNBP1"	"PICALM"	"complex; input"	"-"	1
"FNBP1"	"SQSTM1"	"PPrel: inhibition"	"-|"	1
"FNBP1"	"TGOLN2"	"complex; input"	"-"	1
"FNBP1"	"TSG101"	"predicted"	"-"	0.66
"FNBP1"	"VAMP4"	"complex; input"	"-"	1
"FNBP1"	"VAMP8"	"complex; input"	"-"	1
"GALNS"	"SP1"	"expression regulated by"	"<-"	1
"GANAB"	"MLEC"	"catalyze"	"->"	1
"GAPDH"	"PPIB"	"predicted"	"-"	0.64
"GAPDH"	"YWHAE"	"predicted"	"-"	0.77
"GAPDH"	"YWHAQ"	"predicted"	"-"	0.77
"GBP2"	"STAT1"	"predicted"	"-"	0.98
"GCLC"	"SP1"	"expression regulated by"	"<-"	1
"GLS"	"GLUD1"	"ECrel: compound"	"-"	1
"GLUD1"	"SP1"	"expression regulated by"	"<-"	1
"GNAI2"	"GNAI3"	"catalyze; catalyzed by; input"	"<->"	1
"GNAI2"	"HEBP1"	"complex; input"	"-"	1
"GNAI2"	"HLA-DRA"	"inhibite"	"-|"	1
"GNAI2"	"HLA-DRB1"	"inhibite"	"-|"	1
"GNAI2"	"RHOA"	"activate; reaction"	"->"	1
"GNAI3"	"HEBP1"	"complex; input"	"-"	1
"GNAI3"	"HLA-DRA"	"inhibite"	"-|"	1
"GNAI3"	"HLA-DRB1"	"inhibite"	"-|"	1
"GNAI3"	"NUCB1"	"predicted"	"-"	0.77
"GNAI3"	"RHOA"	"activate; reaction"	"->"	1
"GOLGB1"	"TMED3"	"complex; input"	"-"	1
"GPS1"	"PSMB2"	"predicted"	"-"	0.66
"GPS1"	"PSMD11"	"predicted"	"-"	1
"GTF2B"	"INTS3"	"catalyze; complex; input"	"->"	1
"GTF2B"	"INTS4"	"catalyze; complex; input"	"->"	1
"GTF2B"	"INTS5"	"catalyze; complex; input"	"->"	1
"GTF2B"	"PSMB2"	"expression regulates"	"->"	1
"GTF2B"	"RPRD1B"	"complex; input"	"-"	1
"GTF2B"	"SMARCE1"	"complex; reaction"	"-"	1
"GTF2B"	"SP1"	"complex; input"	"-"	1
"GTF2B"	"SUPT4H1"	"activated by"	"<-"	1
"GTF2B"	"TAF6"	"complex; input"	"-"	1
"GTF2B"	"YWHAE"	"predicted"	"-"	0.64
"GYPC"	"SP1"	"expression regulated by"	"<-"	1
"HAX1"	"HSPA5"	"predicted"	"-"	0.64
"HAX1"	"STAT1"	"predicted"	"-"	0.54
"HAX1"	"STAT2"	"predicted"	"-"	0.54
"HDAC4"	"IKZF1"	"predicted"	"-"	0.64
"HDAC4"	"SMARCB1"	"predicted"	"-"	0.64
"HDAC4"	"SP1"	"predicted"	"-"	0.64
"HDAC4"	"STAT1"	"predicted"	"-"	0.64
"HDAC4"	"YWHAE"	"complex; input"	"-"	1
"HDAC4"	"YWHAQ"	"predicted"	"-"	0.99
"HEATR1"	"RPS27"	"reaction"	"-"	1
"HEATR1"	"WDR46"	"activate; complex; input"	"->"	1
"HEATR1"	"WDR75"	"complex; input"	"-"	1
"HIRA"	"SMARCB1"	"expression regulated by"	"<-"	1
"HIRA"	"SP1"	"expression regulated by"	"<-"	1
"HIRA"	"STAT2"	"expression regulated by"	"<-"	1
"HLA-DRA"	"HLA-DRB1"	"catalyze; catalyzed by; complex; input; predicted"	"<->"	1
"HLA-DRA"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input; predicted"	"<->"	1
"HLA-DRA"	"HLA-E"	"predicted"	"-"	0.92
"HLA-DRA"	"MAP4K1"	"activate"	"->"	1
"HLA-DRA"	"PTPRC"	"activated by; catalyzed by; inhibited by"	"-"	1
"HLA-DRA"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRA"	"SP1"	"expression regulated by"	"<-"	1
"HLA-DRA"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-DRB1"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRB1"	"HLA-E"	"predicted"	"-"	0.98
"HLA-DRB1"	"MAP4K1"	"activate"	"->"	1
"HLA-DRB1"	"PTPRC"	"activated by; catalyzed by; inhibited by"	"-"	1
"HLA-DRB1"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRB1"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"PTPRC"	"catalyzed by; inhibited by"	"-"	1
"HLA-DRB5"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRB5"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-E"	"SEC24D"	"catalyzed by; complex; input"	"<-"	1
"HLA-E"	"STAT1"	"expression regulated by"	"<-"	1
"HLA-E"	"VAMP8"	"input"	"-"	1
"HMGB3"	"STAT1"	"predicted"	"-"	0.56
"HMGB3"	"STAT2"	"predicted"	"-"	0.56
"HNRNPD"	"HNRNPK"	"complex; input"	"-"	1
"HNRNPD"	"HNRNPR"	"complex; input"	"-"	1
"HNRNPD"	"LSM2"	"complex; input"	"-"	1
"HNRNPD"	"PABPN1"	"complex; input"	"-"	1
"HNRNPD"	"PCBP2"	"complex; input"	"-"	1
"HNRNPD"	"PQBP1"	"complex; input"	"-"	1
"HNRNPD"	"PSMB2"	"catalyzed by"	"<-"	1
"HNRNPD"	"PSMD11"	"catalyzed by"	"<-"	1
"HNRNPD"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPD"	"SNRPC"	"complex; input"	"-"	1
"HNRNPD"	"SNW1"	"complex; input"	"-"	1
"HNRNPD"	"WBP11"	"complex; input"	"-"	1
"HNRNPK"	"HNRNPR"	"complex; input"	"-"	1
"HNRNPK"	"LSM2"	"complex; input"	"-"	1
"HNRNPK"	"PABPN1"	"complex; input"	"-"	1
"HNRNPK"	"PCBP2"	"complex; input"	"-"	1
"HNRNPK"	"PQBP1"	"complex; input"	"-"	1
"HNRNPK"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPK"	"SNRPC"	"complex; input"	"-"	1
"HNRNPK"	"SNW1"	"complex; input"	"-"	1
"HNRNPK"	"WBP11"	"complex; input"	"-"	1
"HNRNPR"	"LSM2"	"complex; input"	"-"	1
"HNRNPR"	"PABPN1"	"complex; input"	"-"	1
"HNRNPR"	"PCBP2"	"complex; input"	"-"	1
"HNRNPR"	"PQBP1"	"complex; input"	"-"	1
"HNRNPR"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPR"	"SNRPC"	"complex; input"	"-"	1
"HNRNPR"	"SNW1"	"complex; input"	"-"	1
"HNRNPR"	"WBP11"	"complex; input"	"-"	1
"HPRT1"	"PPAT"	"predicted"	"-"	0.98
"HPRT1"	"PRPS2"	"predicted"	"-"	0.92
"HSP90B1"	"HSPA5"	"predicted"	"-"	1
"HSP90B1"	"P4HB"	"predicted"	"-"	0.98
"HSP90B1"	"SNW1"	"predicted"	"-"	0.73
"HSP90B1"	"TECR"	"predicted"	"-"	0.66
"HSP90B1"	"YWHAE"	"predicted"	"-"	0.98
"HSP90B1"	"YWHAQ"	"predicted"	"-"	0.64
"HSPA5"	"NCK1"	"predicted"	"-"	0.64
"HSPA5"	"P4HB"	"predicted"	"-"	0.58
"HSPA5"	"PPIB"	"predicted"	"-"	0.64
"HSPA5"	"SEC61A1"	"predicted"	"-"	0.64
"HSPA5"	"SEC63"	"predicted"	"-"	0.98
"HSPA5"	"SNCA"	"inhibit"	"-|"	1
"HSPA5"	"YWHAE"	"predicted"	"-"	0.54
"HSPA5"	"YWHAQ"	"predicted"	"-"	0.54
"IKZF1"	"IKZF2"	"predicted"	"-"	0.97
"IKZF1"	"SMARCE1"	"predicted"	"-"	0.64
"IKZF1"	"SNW1"	"predicted"	"-"	0.64
"INIP"	"INTS3"	"predicted"	"-"	0.64
"INTS3"	"INTS4"	"complex"	"-"	1
"INTS3"	"INTS5"	"complex"	"-"	1
"INTS3"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS3"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS3"	"SUPT4H1"	"activated by"	"<-"	1
"INTS3"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"INTS5"	"complex"	"-"	1
"INTS4"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"SUPT4H1"	"activated by"	"<-"	1
"INTS4"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"SUPT4H1"	"activated by"	"<-"	1
"INTS5"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"ITGAL"	"LIMS1"	"input"	"-"	1
"ITGAL"	"PTK2B"	"PPrel: activation; PPrel: indirect effect; catalyzed by; complex; input"	"<->"	1
"ITGAL"	"PTPRC"	"predicted"	"-"	0.98
"ITGAL"	"SP1"	"expression regulated by"	"<-"	1
"LIG1"	"POLD1"	"catalyze; complex; input"	"->"	1
"LIG1"	"RFC1"	"catalyze; complex; input"	"->"	1
"LIG1"	"RFC2"	"catalyze; complex; input"	"->"	1
"LIG1"	"TCEA1"	"catalyze"	"->"	1
"LIMS1"	"PTK2B"	"input"	"-"	1
"LMAN1"	"P4HB"	"predicted"	"-"	0.64
"LMAN1"	"SEC24D"	"complex; input"	"-"	1
"LMAN1"	"TFG"	"complex; input"	"-"	1
"LMAN1"	"TMED5"	"predicted"	"-"	0.64
"LSM2"	"PABPN1"	"complex; input"	"-"	1
"LSM2"	"PCBP2"	"complex; input"	"-"	1
"LSM2"	"PQBP1"	"complex; input"	"-"	1
"LSM2"	"SNRPB2"	"complex; input"	"-"	1
"LSM2"	"SNRPC"	"complex; input"	"-"	1
"LSM2"	"SNW1"	"complex; input"	"-"	1
"LSM2"	"WBP11"	"complex; input"	"-"	1
"LSM2"	"ZCRB1"	"complex; input"	"-"	1
