"source"	"target"	"Annotation"	"Direction"	"Score"
"ACTL6A"	"EP400"	"complex"	"-"	1
"ACTL6A"	"MCRS1"	"complex"	"-"	1
"ACTL6A"	"MEAF6"	"complex"	"-"	1
"ACTL6A"	"VPS72"	"complex"	"-"	1
"ACTL6A"	"XPC"	"activate"	"->"	1
"ACTN1"	"FN1"	"complex; input"	"-"	1
"ACTN1"	"JAK2"	"complex; input; reaction"	"-"	1
"ACTN1"	"PXN"	"complex; input"	"-"	1
"ACTN1"	"SRC"	"activated by"	"<-"	1
"ACTN2"	"CAMK2G"	"complex; input"	"-"	1
"ACTN2"	"FN1"	"complex; input"	"-"	1
"ACTN2"	"PXN"	"complex; input"	"-"	1
"ACTN2"	"SRC"	"catalyzed by"	"<-"	1
"ACTN3"	"FN1"	"complex; input"	"-"	1
"ACTN3"	"JAK2"	"complex; input; reaction"	"-"	1
"ACTN3"	"PXN"	"complex; input"	"-"	1
"ACTN4"	"FN1"	"complex; input"	"-"	1
"ACTN4"	"PXN"	"complex; input"	"-"	1
"ACTR10"	"CD59"	"complex; input"	"-"	1
"ACTR10"	"HLA-DPA1"	"input"	"-"	1
"ACTR10"	"HLA-DRB5"	"input"	"-"	1
"ACTR10"	"KDELR1"	"complex; input"	"-"	1
"ACTR10"	"SPTB"	"complex; input"	"-"	1
"ACTR1A"	"AKAP9"	"complex"	"-"	1
"ACTR1A"	"CD59"	"complex; input"	"-"	1
"ACTR1A"	"CEP135"	"complex"	"-"	1
"ACTR1A"	"HLA-DPA1"	"input"	"-"	1
"ACTR1A"	"HLA-DRB5"	"input"	"-"	1
"ACTR1A"	"KDELR1"	"complex; input"	"-"	1
"ACTR1A"	"MYH11"	"complex; input"	"-"	1
"ACTR1A"	"MZT2B"	"complex; input"	"-"	1
"ACTR1A"	"ODF2"	"complex"	"-"	1
"ACTR1A"	"SPTB"	"complex; input"	"-"	1
"ACTR1A"	"SYNE1"	"predicted"	"-"	0.56
"ACTR1B"	"HLA-DPA1"	"input"	"-"	1
"ACTR1B"	"HLA-DRB5"	"input"	"-"	1
"ACTR1B"	"MYH11"	"complex; input"	"-"	1
"ACTR2"	"ARPC1A"	"complex"	"-"	1
"ACTR2"	"EPN1"	"complex; input"	"-"	1
"ACTR2"	"TF"	"complex; input"	"-"	1
"ACTR3"	"ARPC1A"	"complex"	"-"	1
"ACTR3"	"EPN1"	"complex; input"	"-"	1
"ACTR3"	"TF"	"complex; input"	"-"	1
"ACTR3B"	"ARPC1A"	"predicted"	"-"	0.98
"ACTR5"	"MCRS1"	"complex"	"-"	1
"ACTR5"	"XPC"	"activate"	"->"	1
"ACTR8"	"MCRS1"	"complex"	"-"	1
"ACTR8"	"XPC"	"activate"	"->"	1
"ACVR1"	"TGFB1"	"input"	"-"	1
"ACVR1B"	"PRKACB"	"predicted"	"-"	0.64
"ACVR1B"	"TGFB1"	"input"	"-"	1
"ACVR1B"	"TGFBRAP1"	"predicted"	"-"	0.64
"ACVR1C"	"TGFB1"	"input"	"-"	1
"ACVR2A"	"TGFB1"	"input"	"-"	1
"ACVR2B"	"TGFB1"	"input"	"-"	1
"ACVR2B"	"TGFBRAP1"	"predicted"	"-"	0.64
"ACVRL1"	"TGFB1"	"complex; input; reaction"	"-"	1
"ACVRL1"	"TGFBRAP1"	"predicted"	"-"	0.64
"ADA"	"NFIC"	"expression regulated by"	"<-"	1
"ADA2"	"HLA-DPA1"	"predicted"	"-"	0.59
"ADAM12"	"SRC"	"predicted"	"-"	0.54
"ADAM15"	"SRC"	"predicted"	"-"	0.99
"ADAM17"	"SRC"	"predicted"	"-"	0.64
"ADAM8"	"KIT"	"predicted"	"-"	0.54
"ADARB1"	"TGFB1"	"predicted"	"-"	0.65
"ADCK2"	"PDK2"	"predicted"	"-"	0.64
"ADCY1"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY1"	"PRKACB"	"ECrel: compound; ECrel: compound, activation, indirect effect; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY10"	"PRKACB"	"PPrel: compound"	"-"	1
"ADCY2"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY2"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY3"	"CAMK2G"	"PPrel: inhibited by; PPrel: inhibited by, phosphorylated by"	"|-"	1
"ADCY3"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activated, phosphorylation; PPrel: compound, activation"	"<->"	1
"ADCY4"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY4"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY5"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY5"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY6"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY6"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY7"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY7"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY8"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY8"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activation"	"<->"	1
"ADCY9"	"CAMK2G"	"PPrel: inhibited by"	"|-"	1
"ADCY9"	"PRKACB"	"ECrel: compound; PPrel: activated by; PPrel: activation, indirect effect; PPrel: compound; PPrel: compound, activated, phosphorylation; PPrel: compound, activation"	"<->"	1
"ADD3"	"PRKACB"	"predicted"	"-"	0.59
"ADIRF"	"POU2F2"	"expression regulated by"	"<-"	1
"ADIRF"	"TGFB1"	"activate; inhibited by"	"|->"	1
"ADRA1B"	"NFIX"	"expression regulated by"	"<-"	1
"ADRB2"	"ARPC1A"	"complex; input"	"-"	1
"ADRB2"	"EPN1"	"inhibited by"	"|-"	1
"ADRB2"	"SRC"	"predicted"	"-"	0.64
"ADSS"	"TGFBRAP1"	"predicted"	"-"	0.66
"ADSS1"	"TGFBRAP1"	"predicted"	"-"	0.66
"ADSS2"	"TGFBRAP1"	"predicted"	"-"	0.66
"AFAP1L2"	"SRC"	"predicted"	"-"	0.64
"AFDN"	"SRC"	"activate; activated by"	"<->"	1
"AFF4"	"GTF2H2"	"complex; input"	"-"	1
"AFF4"	"NCBP2"	"input"	"-"	1
"AFF4"	"SUPT6H"	"complex; input"	"-"	1
"AFP"	"NFIC"	"expression regulated by"	"<-"	1
"AGER"	"JAK2"	"PPrel: activation, phosphorylation"	"->"	1
"AGFG1"	"ARPC1A"	"complex; input"	"-"	1
"AGO2"	"NUP205"	"catalyzed by"	"<-"	1
"AGPAT3"	"SERINC1"	"predicted"	"-"	0.64
"AGRN"	"B3GALT6"	"catalyzed by"	"<-"	1
"AGRN"	"B3GAT3"	"catalyzed by"	"<-"	1
"AGRN"	"JAK2"	"activate; complex"	"->"	1
"AGT"	"ATP6AP2"	"activated by; catalyzed by"	"<-"	1
"AGTR1"	"JAK2"	"predicted"	"-"	0.99
"AGTR1"	"TGFB1"	"PPrel: activation, indirect effect"	"->"	1
"AGTR2"	"JAK2"	"predicted"	"-"	0.54
"AHCTF1"	"MAD1L1"	"complex; input"	"-"	1
"AHI1"	"AKAP9"	"complex; input"	"-"	1
"AHI1"	"CEP135"	"complex; input"	"-"	1
"AHI1"	"ODF2"	"complex; input"	"-"	1
"AHR"	"CDKN1B"	"GErel: expression"	"->"	1
"AHSG"	"NFIC"	"expression regulated by"	"<-"	1
"AICDA"	"SUPT6H"	"predicted"	"-"	0.99
"AIMP1"	"PPP2R5E"	"predicted"	"-"	0.56
"AIRE"	"SRC"	"predicted"	"-"	0.64
"AJUBA"	"AKAP9"	"complex; input"	"-"	1
"AJUBA"	"CEP135"	"complex; input"	"-"	1
"AJUBA"	"ODF2"	"complex; input"	"-"	1
"AKAP1"	"PRKACB"	"complex; input"	"-"	1
"AKAP10"	"PRKACB"	"complex; input"	"-"	1
"AKAP12"	"PTEN"	"predicted"	"-"	0.64
"AKAP13"	"CDKN1B"	"activate; inhibited by"	"|->"	1
"AKAP5"	"CAMK2G"	"catalyzed by"	"<-"	1
"AKAP5"	"PRKACB"	"complex; input"	"-"	1
"AKAP9"	"ALMS1"	"complex"	"-"	1
"AKAP9"	"AURKA"	"complex"	"-"	1
"AKAP9"	"B9D1"	"complex; input"	"-"	1
"AKAP9"	"B9D2"	"complex; input"	"-"	1
"AKAP9"	"BORA"	"complex; input"	"-"	1
"AKAP9"	"BRAF"	"inhibited by; input"	"|-"	1
"AKAP9"	"C2CD3"	"complex; input"	"-"	1
"AKAP9"	"CAMSAP2"	"predicted"	"-"	0.64
"AKAP9"	"CAMSAP3"	"predicted"	"-"	0.64
"AKAP9"	"CC2D2A"	"complex; input"	"-"	1
"AKAP9"	"CCP110"	"complex"	"-"	1
"AKAP9"	"CDK1"	"complex"	"-"	1
"AKAP9"	"CDK5RAP2"	"complex"	"-"	1
"AKAP9"	"CENPJ"	"complex"	"-"	1
"AKAP9"	"CEP131"	"complex"	"-"	1
"AKAP9"	"CEP135"	"complex"	"-"	1
"AKAP9"	"CEP152"	"complex"	"-"	1
"AKAP9"	"CEP162"	"complex"	"-"	1
"AKAP9"	"CEP164"	"complex; input"	"-"	1
"AKAP9"	"CEP192"	"complex"	"-"	1
"AKAP9"	"CEP250"	"complex"	"-"	1
"AKAP9"	"CEP290"	"complex"	"-"	1
"AKAP9"	"CEP41"	"complex"	"-"	1
"AKAP9"	"CEP57"	"complex"	"-"	1
"AKAP9"	"CEP63"	"complex"	"-"	1
"AKAP9"	"CEP70"	"complex"	"-"	1
"AKAP9"	"CEP72"	"complex"	"-"	1
"AKAP9"	"CEP76"	"complex"	"-"	1
"AKAP9"	"CEP78"	"complex"	"-"	1
"AKAP9"	"CEP83"	"complex; input"	"-"	1
"AKAP9"	"CEP89"	"complex; input"	"-"	1
"AKAP9"	"CEP97"	"complex"	"-"	1
"AKAP9"	"CETN2"	"complex"	"-"	1
"AKAP9"	"CKAP5"	"complex"	"-"	1
"AKAP9"	"CLASP1"	"complex"	"-"	1
"AKAP9"	"CLASP2"	"predicted"	"-"	0.64
"AKAP9"	"CLIC1"	"predicted"	"-"	0.64
"AKAP9"	"CNTRL"	"complex"	"-"	1
"AKAP9"	"CSNK1D"	"complex"	"-"	1
"AKAP9"	"CSNK1E"	"complex"	"-"	1
"AKAP9"	"DCTN1"	"complex"	"-"	1
"AKAP9"	"DCTN2"	"complex"	"-"	1
"AKAP9"	"DCTN3"	"complex"	"-"	1
"AKAP9"	"DISC1"	"predicted"	"-"	0.64
"AKAP9"	"DYNC1H1"	"complex"	"-"	1
"AKAP9"	"DYNC1I2"	"complex"	"-"	1
"AKAP9"	"DYNLL1"	"complex"	"-"	1
"AKAP9"	"FBF1"	"complex; input"	"-"	1
"AKAP9"	"FGFR1OP"	"complex"	"-"	1
"AKAP9"	"GOLGA2"	"predicted"	"-"	0.64
"AKAP9"	"HAUS1"	"complex"	"-"	1
"AKAP9"	"HAUS2"	"complex"	"-"	1
"AKAP9"	"HAUS3"	"complex"	"-"	1
"AKAP9"	"HAUS4"	"complex"	"-"	1
"AKAP9"	"HAUS5"	"complex"	"-"	1
"AKAP9"	"HAUS6"	"complex"	"-"	1
"AKAP9"	"HAUS7"	"complex"	"-"	1
"AKAP9"	"HAUS8"	"complex"	"-"	1
"AKAP9"	"HMMR"	"complex; input"	"-"	1
"AKAP9"	"HRAS"	"inhibited by"	"|-"	1
"AKAP9"	"HSP90AA1"	"complex"	"-"	1
"AKAP9"	"IQCB1"	"complex"	"-"	1
"AKAP9"	"KCNE1"	"complex"	"-"	1
"AKAP9"	"KCNE2"	"complex"	"-"	1
"AKAP9"	"KCNQ1"	"complex"	"-"	1
"AKAP9"	"KDM1A"	"predicted"	"-"	0.64
"AKAP9"	"KIF24"	"complex"	"-"	1
"AKAP9"	"KRAS"	"inhibited by"	"|-"	1
"AKAP9"	"KSR1"	"complex; inhibited by; input"	"|-"	1
"AKAP9"	"MAP2K1"	"complex; input"	"-"	1
"AKAP9"	"MAP2K2"	"complex; input"	"-"	1
"AKAP9"	"MAPK1"	"complex; input"	"-"	1
"AKAP9"	"MAPK3"	"complex; input"	"-"	1
"AKAP9"	"MAPRE1"	"complex"	"-"	1
"AKAP9"	"MARK3"	"complex; input"	"-"	1
"AKAP9"	"MARK4"	"complex; input"	"-"	1
"AKAP9"	"MKS1"	"complex; input"	"-"	1
"AKAP9"	"MZT1"	"complex; input"	"-"	1
"AKAP9"	"MZT2A"	"complex; input"	"-"	1
"AKAP9"	"MZT2B"	"complex; input"	"-"	1
"AKAP9"	"NDE1"	"complex"	"-"	1
"AKAP9"	"NDEL1"	"predicted"	"-"	0.54
"AKAP9"	"NEDD1"	"complex; input"	"-"	1
"AKAP9"	"NEK2"	"complex"	"-"	1
"AKAP9"	"NINL"	"complex"	"-"	1
"AKAP9"	"NME7"	"complex; input"	"-"	1
"AKAP9"	"NPHP1"	"complex; input"	"-"	1
"AKAP9"	"NPHP4"	"complex; input"	"-"	1
"AKAP9"	"NRAS"	"inhibited by"	"|-"	1
"AKAP9"	"NUMA1"	"complex; input"	"-"	1
"AKAP9"	"ODF2"	"complex"	"-"	1
"AKAP9"	"OFD1"	"complex"	"-"	1
"AKAP9"	"PAFAH1B1"	"complex"	"-"	1
"AKAP9"	"PCM1"	"complex"	"-"	1
"AKAP9"	"PCNT"	"complex"	"-"	1
"AKAP9"	"PDE4DIP"	"predicted"	"-"	0.99
"AKAP9"	"PEBP1"	"inhibited by"	"|-"	1
"AKAP9"	"PLK1"	"catalyzed by; complex; input"	"<-"	1
"AKAP9"	"PLK4"	"complex"	"-"	1
"AKAP9"	"PPP2R1A"	"complex"	"-"	1
"AKAP9"	"PRKACA"	"complex"	"-"	1
"AKAP9"	"PRKAR2A"	"predicted"	"-"	0.77
"AKAP9"	"PRKAR2B"	"complex"	"-"	1
"AKAP9"	"PSTPIP1"	"predicted"	"-"	0.64
"AKAP9"	"RAB11A"	"complex; input"	"-"	1
"AKAP9"	"RAB3IP"	"complex; input"	"-"	1
"AKAP9"	"RAB8A"	"catalyze"	"->"	1
"AKAP9"	"RAF1"	"inhibited by"	"|-"	1
"AKAP9"	"RPGRIP1L"	"complex; input"	"-"	1
"AKAP9"	"SCLT1"	"complex; input"	"-"	1
"AKAP9"	"SDCCAG8"	"complex"	"-"	1
"AKAP9"	"SEPTIN2"	"activated by"	"<-"	1
"AKAP9"	"SFI1"	"complex"	"-"	1
"AKAP9"	"SSNA1"	"complex"	"-"	1
"AKAP9"	"TCTN1"	"complex; input"	"-"	1
"AKAP9"	"TCTN2"	"complex; input"	"-"	1
"AKAP9"	"TCTN3"	"complex; input"	"-"	1
"AKAP9"	"TMEM216"	"complex; input"	"-"	1
"AKAP9"	"TMEM67"	"complex; input"	"-"	1
"AKAP9"	"TPX2"	"complex; input"	"-"	1
"AKAP9"	"TTBK2"	"complex; input"	"-"	1
"AKAP9"	"TUBA1A"	"complex"	"-"	1
"AKAP9"	"TUBA4A"	"complex"	"-"	1
"AKAP9"	"TUBB"	"complex"	"-"	1
"AKAP9"	"TUBB4A"	"complex"	"-"	1
"AKAP9"	"TUBB4B"	"complex"	"-"	1
"AKAP9"	"TUBG1"	"complex; input"	"-"	1
"AKAP9"	"TUBG2"	"complex; input"	"-"	1
"AKAP9"	"TUBGCP2"	"complex; input"	"-"	1
"AKAP9"	"TUBGCP3"	"complex; input"	"-"	1
"AKAP9"	"TUBGCP4"	"complex; input"	"-"	1
"AKAP9"	"TUBGCP5"	"complex; input"	"-"	1
"AKAP9"	"TUBGCP6"	"complex; input"	"-"	1
"AKAP9"	"YWHAB"	"inhibited by"	"|-"	1
"AKAP9"	"YWHAE"	"complex"	"-"	1
"AKAP9"	"YWHAG"	"complex"	"-"	1
"AKR1B1"	"BPGM"	"predicted"	"-"	0.56
"AKR1C3"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"AKT1"	"CDKN1B"	"PPrel: inhibition, phosphorylation; activate; catalyze"	"-"	1
"AKT1"	"JAK1"	"activated by"	"<-"	1
"AKT1"	"MAP2K4"	"PPrel: inhibition, phosphorylation; catalyze"	"-"	1
"AKT1"	"MEAF6"	"catalyze; inhibit"	"-"	1
"AKT1"	"PDK1"	"predicted"	"-"	0.64
"AKT1"	"PDK2"	"predicted"	"-"	0.64
"AKT1"	"PPP2CA"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibit"	"|-|"	1
"AKT1"	"PPP2R5E"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibit"	"|-|"	1
"AKT1"	"PTEN"	"predicted"	"-"	0.64
"AKT1"	"RPTOR"	"PPrel: activation, phosphorylation; activate; catalyze"	"->"	1
"AKT1"	"SLC2A5"	"PPrel: activation, indirect effect"	"->"	1
"AKT1"	"SRC"	"activated by"	"<-"	1
"AKT1S1"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"AKT1S1"	"RPTOR"	"PPrel: inhibition; complex; inhibited by; input; reaction"	"|-|"	1
"AKT2"	"CDKN1B"	"PPrel: inhibition, phosphorylation"	"-|"	1
"AKT2"	"MAP2K4"	"PPrel: inhibition, phosphorylation; catalyze"	"-"	1
"AKT2"	"PDK1"	"predicted"	"-"	0.64
"AKT2"	"PPP2CA"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibit"	"|-|"	1
"AKT2"	"PPP2R5E"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibit"	"|-|"	1
"AKT2"	"RPTOR"	"PPrel: activation, phosphorylation; activate"	"->"	1
"AKT2"	"SLC2A5"	"PPrel: activation, indirect effect"	"->"	1
"AKT3"	"CDKN1B"	"PPrel: inhibition, phosphorylation"	"-|"	1
"AKT3"	"MAP2K4"	"PPrel: inhibition, phosphorylation; catalyze"	"-"	1
"AKT3"	"PPP2CA"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibite"	"|-|"	1
"AKT3"	"PPP2R5E"	"PPrel: inhibited by; PPrel: inhibited by, dephosphorylation; inhibite"	"|-|"	1
"AKT3"	"RPTOR"	"PPrel: activation, phosphorylation"	"->"	1
"AKT3"	"SLC2A5"	"PPrel: activation, indirect effect"	"->"	1
"ALAS1"	"NFIC"	"expression regulated by"	"<-"	1
"ALB"	"APOA1"	"predicted"	"-"	0.58
"ALB"	"APOC1"	"predicted"	"-"	0.58
"ALB"	"APOC2"	"predicted"	"-"	0.58
"ALB"	"APOC3"	"predicted"	"-"	0.58
"ALB"	"APOE"	"predicted"	"-"	0.64
"ALB"	"CDC73"	"predicted"	"-"	0.64
"ALB"	"CRYAA"	"predicted"	"-"	0.64
"ALB"	"CRYAB"	"predicted"	"-"	0.64
"ALB"	"DDB1"	"predicted"	"-"	0.64
"ALB"	"F2"	"predicted"	"-"	0.58
"ALB"	"FABP6"	"input"	"-"	1
"ALB"	"FAM20A"	"activated by"	"<-"	1
"ALB"	"FAM20C"	"activated by; catalyze; catalyzed by; complex; input"	"<->"	1
"ALB"	"FGA"	"predicted"	"-"	0.58
"ALB"	"FOXA3"	"predicted"	"-"	0.64
"ALB"	"HBA1"	"predicted"	"-"	0.64
"ALB"	"HNRNPA1"	"predicted"	"-"	0.58
"ALB"	"HPX"	"input"	"-"	1
"ALB"	"HSPA8"	"predicted"	"-"	0.64
"ALB"	"KRT1"	"predicted"	"-"	0.64
"ALB"	"LRP2"	"predicted"	"-"	0.64
"ALB"	"PALB2"	"predicted"	"-"	0.64
"ALB"	"RBP4"	"predicted"	"-"	0.58
"ALB"	"SETX"	"predicted"	"-"	0.64
"ALB"	"SLC10A1"	"catalyzed by"	"<-"	1
"ALB"	"SLCO1A2"	"catalyzed by"	"<-"	1
"ALB"	"SLCO1B1"	"catalyzed by"	"<-"	1
"ALB"	"SLCO1B3"	"catalyzed by"	"<-"	1
"ALB"	"SOD1"	"predicted"	"-"	0.64
"ALB"	"TTR"	"predicted"	"-"	0.58
"ALDH3A2"	"PEX3"	"complex; input"	"-"	1
"ALDOA"	"NFIC"	"expression regulated by"	"<-"	1
"ALG1"	"ALG11"	"predicted"	"-"	0.96
"ALK"	"JAK1"	"PPrel: activation"	"->"	1
"ALK"	"JAK2"	"PPrel: activation"	"->"	1
"ALMS1"	"CEP135"	"complex"	"-"	1
"ALMS1"	"MZT2B"	"complex; input"	"-"	1
"ALMS1"	"ODF2"	"complex"	"-"	1
"ALOX5"	"ALOX5AP"	"complex"	"-"	1
"ALOX5AP"	"CEBPA"	"expression regulated by"	"<-"	1
"ALOX5AP"	"CEBPD"	"expression regulated by"	"<-"	1
"ALOX5AP"	"CEBPE"	"expression regulated by"	"<-"	1
"ALOX5AP"	"CORO1A"	"predicted"	"-"	0.59
"ALOX5AP"	"DOCK2"	"predicted"	"-"	0.59
"ALOX5AP"	"GMFG"	"predicted"	"-"	0.65
"ALOX5AP"	"ITGB2"	"predicted"	"-"	0.59
"ALOX5AP"	"LAPTM5"	"predicted"	"-"	0.59
"ALOX5AP"	"LCP2"	"predicted"	"-"	0.59
"ALOX5AP"	"LTC4S"	"complex"	"-"	1
"ALOX5AP"	"MEF2A"	"expression regulated by"	"<-"	1
"ALOX5AP"	"MEF2C"	"expression regulated by"	"<-"	1
"ALOX5AP"	"RAC2"	"predicted"	"-"	0.59
"ALOX5AP"	"SRGN"	"predicted"	"-"	0.59
"ALPK3"	"CSNK1G2"	"predicted"	"-"	0.92
"ALYREF"	"NCBP2"	"complex; input"	"-"	1
"ALYREF"	"NUP205"	"activated by; catalyzed by; complex; input"	"<-"	1
"ALYREF"	"SLU7"	"complex; input"	"-"	1
"AMBRA1"	"RPTOR"	"predicted"	"-"	0.64
"AMELX"	"NFIC"	"expression regulated by"	"<-"	1
"AMELY"	"NFIC"	"expression regulated by"	"<-"	1
"AMHR2"	"TGFB1"	"input"	"-"	1
"AMOT"	"PTEN"	"predicted"	"-"	0.64
"AMPH"	"ARPC1A"	"complex; input"	"-"	1
"AMPH"	"EPN1"	"complex; input"	"-"	1
"AMPH"	"TF"	"complex; input"	"-"	1
"ANAPC1"	"ANAPC10"	"PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC11"	"PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC13"	"PPrel: activated, indirect effect; complex"	"<-"	1
"ANAPC1"	"ANAPC15"	"catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC16"	"catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC2"	"PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC4"	"PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC5"	"PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"ANAPC7"	"PPrel: activated, indirect effect; PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input"	"<->"	1
"ANAPC1"	"AURKA"	"complex; input"	"-"	1
"ANAPC1"	"AURKB"	"complex; input"	"-"	1
"ANAPC1"	"BUB1B"	"PPrel: inhibited by; catalyze; catalyzed by; complex; input"	"->"	1
