name	Mutations_of_interest_vs_CD34_diff	Mutations_of_interest_vs_CD34_p.val	ProteinDescriptions
ANKRD44	-0.558201948717951	0.0420079475671939	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
ANXA11	0.770154512820497	0.00564751123594051	Annexin A11
ANXA5	-1.7155554871795	0.00437267900983165	Annexin A5
ANXA7	-0.611415282051286	0.0110617314843481	Annexin A7
AP1B1	-0.535517435897432	0.0118984569461077	AP-1 complex subunit beta-1
AP1G1	-1.26583015384616	2.5588082623107e-09	AP-1 complex subunit gamma-1
AP1G2	0.529817042348229	0.00850876825196653	AP-1 complex subunit gamma-like 2
AP1S1	-0.611892425095602	0.0477710426065264	AP-1 complex subunit sigma-1A
AP1S2	-0.861709794871798	0.0020749634088472	AP-1 complex subunit sigma-2
AP2A1	-1.47605482051282	0.000115137303622147	AP-2 complex subunit alpha-1
AP2A2	1.44907635897435	1.11744768839368e-09	AP-2 complex subunit alpha-2
AP2B1	0.829242615384615	6.21525416254103e-05	AP-2 complex subunit beta
AP3B1	-0.683019487179491	0.00665860002938301	AP-3 complex subunit beta-1
AP3D1	-0.947685025641018	9.95463488644985e-05	AP-3 complex subunit delta-1
AP3M1	-1.02604676923077	9.71048401739904e-08	AP-3 complex subunit mu-1
AP5B1	-4.79779767978793	4.17635991333321e-28	AP-5 complex subunit beta-1
APAF1	-1.27627256410257	1.50673718942585e-05	Apoptotic protease-activating factor 1
API5	-0.868083538461548	4.45737438682728e-05	Apoptosis inhibitor 5
APMAP	0.884664666666662	0.0436681156965211	Adipocyte plasma membrane-associated protein
APOA1	-3.21425291581295	1.17621898109379e-07	Apolipoprotein A-I
APOA1BP	-1.32684246153846	1.76695559765582e-12	NAD(P)H-hydrate epimerase
APOB	-1.49394974358975	0.0175163662998393	Apolipoprotein B-100
APOBEC3F	0.857914049576575	0.082641027957031	DNA dC->dU-editing enzyme APOBEC-3F
APOBR	-0.822705128205133	0.0584628446547194	Apolipoprotein B receptor
APOC3	-2.49586010256411	1.66293337791937e-06	Apolipoprotein C-III
APOE	-3.13232005128205	6.58764100808794e-08	Apolipoprotein E
APOL2	-0.843164871794876	0.00225572000700399	Apolipoprotein L2
APOO	-0.551525333333334	0.0435605735168266	MICOS complex subunit MIC26
APOOL	1.17189476923076	1.19018116724024e-05	MICOS complex subunit MIC27
APPL1	-0.841827846153841	0.00108470971210473	DCC-interacting protein 13-alpha
APTX	-1.11744319443661	0.000293412871067135	Aprataxin
AQR	-0.415300051282047	0.0600189027000717	Intron-binding protein aquarius
ARAF	-0.465884380306454	0.0574006089961759	Serine/threonine-protein kinase A-Raf
ARCN1	-0.821651538461552	9.60556640776389e-06	Coatomer subunit delta
ARF4	-0.634670717948723	0.00237630205852463	ADP-ribosylation factor 4
ARF5	-0.956272153846157	0.00030536980401224	ADP-ribosylation factor 5
ARF6	-2.27273220512821	6.20597296952371e-08	ADP-ribosylation factor 6
ARFGAP2	-1.6808437948718	3.4048757330415e-10	ADP-ribosylation factor GTPase-activating protein 2
ARFGAP3	-1.55819517084782	1.41063148939963e-07	ADP-ribosylation factor GTPase-activating protein 3
ARFIP1	-1.02004810256411	0.0013702964292036	Arfaptin-1
ARGLU1	-0.874722205128212	0.000166807953199022	Arginine and glutamate-rich protein 1
ARHGAP1	-1.12242379487179	8.35552825156094e-06	Rho GTPase-activating protein 1
ARHGAP18	-1.75011005128205	0.00378931569856217	Rho GTPase-activating protein 18
ARHGAP4	-0.463922717948723	0.0359699421044902	Rho GTPase-activating protein 4
ARHGDIA	-0.536083128205135	0.045030797425369	Rho GDP-dissociation inhibitor 1
ARHGEF1	0.713912358974358	0.0072248422900928	Rho guanine nucleotide exchange factor 1
ARHGEF7	-0.658636307692319	0.0342091216289696	Rho guanine nucleotide exchange factor 7
ARID2	-0.49941251282052	0.0311528166149709	AT-rich interactive domain-containing protein 2
ARL1	-1.28383928205129	1.30418125039913e-07	ADP-ribosylation factor-like protein 1
ARL2	-1.29922528205128	7.30932147542886e-05	ADP-ribosylation factor-like protein 2
ARL3	-1.52247410256411	1.15056280903749e-07	ADP-ribosylation factor-like protein 3
ARL6IP5	0.894983025641015	0.0184110240159121	PRA1 family protein 3
ARL8A	0.8116442051282	0.00974627262736688	ADP-ribosylation factor-like protein 8A
ARL8B	1.16079434866806	0.0263882209839292	ADP-ribosylation factor-like protein 8B
ARMC6	-1.30150682051283	7.63629397942373e-05	Armadillo repeat-containing protein 6
ARMT1	-1.23340164102565	0.000338547224546559	Protein-glutamate O-methyltransferase
ARPC1B	0.424421487179487	0.0727433160414177	Actin-related protein 2/3 complex subunit 1B
ARPC2	-0.808599641025637	0.000275191447132405	Actin-related protein 2/3 complex subunit 2
ARPC3	0.930166256410249	3.08655693696203e-05	Actin-related protein 2/3 complex subunit 3
ARPC4	-0.484147435897427	0.0911170693754403	Actin-related protein 2/3 complex subunit 4
ARPP19	-0.867172051282058	0.00012764926933338	cAMP-regulated phosphoprotein 19
ARRB1	0.623962820512826	0.0234417374499854	Beta-arrestin-1
ARRB2	-0.556102256410266	0.0677267225885446	Beta-arrestin-2
ARSB	-1.084102	0.00452290373531139	Arylsulfatase B
ASAH1	0.988183589743581	0.00162880264852257	Acid ceramidase
ASAP1	-0.621499538461538	0.0569582640075207	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1
ASCC2	-0.571652832563393	0.0522463727929967	Activating signal cointegrator 1 complex subunit 2
ASF1B	-3.88625414516141	7.38463309399225e-15	Histone chaperone ASF1B
ASL	-1.39806056410257	0.000141295769730186	Argininosuccinate lyase
ASMTL	-2.70087282051283	9.78880044746369e-12	N-acetylserotonin O-methyltransferase-like protein
ASUN	-0.372031636039345	0.0725899387236875	Protein asunder homolog
ATAD2B	-0.622635824166844	0.0277410633176438	ATPase family AAA domain-containing protein 2B
ATAD3A	0.816696205128206	0.000444259366701328	ATPase family AAA domain-containing protein 3A
ATG3	-1.30473364102564	8.18390385704179e-05	Ubiquitin-like-conjugating enzyme ATG3
ATG7	-1.38756343589744	3.38692152152201e-05	Ubiquitin-like modifier-activating enzyme ATG7
ATIC	-0.551100461538464	0.0321976225413058	Bifunctional purine biosynthesis protein PURH
ATL2	0.803560382580372	0.0134166906718347	Atlastin-2
ATL3	0.950645128205117	0.000413177444712322	Atlastin-3
ATM	-2.41866553846154	3.06984728819537e-12	Serine-protein kinase ATM
ATOX1	-4.75690731130083	4.18062405586836e-27	Copper transport protein ATOX1
ATP13A1	-0.706012717948727	0.00190078079828034	Manganese-transporting ATPase 13A1
ATP1A1	1.06296097435897	6.09856111704788e-06	Sodium/potassium-transporting ATPase subunit alpha-1
ATP2B1	-0.720745495983468	0.0282936638462078	Plasma membrane calcium-transporting ATPase 1
ATP2B4	0.496964871794869	0.0338985205045441	Plasma membrane calcium-transporting ATPase 4
ATP5A1	1.1849341025641	4.42107080103309e-08	ATP synthase subunit alpha, mitochondrial
ATP5B	1.56617548717948	2.04489082116625e-13	ATP synthase subunit beta, mitochondrial
ATP5D	-1.43450625641026	5.17174244331369e-05	ATP synthase subunit delta, mitochondrial
ATP5H	0.409697333333334	0.0748044228282674	ATP synthase subunit d, mitochondrial
ATP5J	-1.25306174358975	0.00022371670717623	ATP synthase-coupling factor 6, mitochondrial
ATP6AP2	0.605154992615587	0.0555311237336825	Renin receptor
ATP6V0A1	0.775392780266754	0.0158798065374423	V-type proton ATPase 116 kDa subunit a isoform 1
ATP6V1C1	0.689265230769244	0.0031590081338322	V-type proton ATPase subunit C 1
ATP6V1D	-0.649627179487185	0.00105340482470118	V-type proton ATPase subunit D
ATP6V1E1	-0.72220174358975	0.00746862050563928	V-type proton ATPase subunit E 1
ATP6V1G1	-0.620270051282059	0.0197656322231538	V-type proton ATPase subunit G 1
ATP6V1H	-0.513631794871802	0.0284109177333194	V-type proton ATPase subunit H
ATPIF1	0.767196051282038	0.0748818654803011	ATPase inhibitor, mitochondrial
ATRX	-1.09613466666667	2.04298797336794e-07	Transcriptional regulator ATRX
ATXN2	-1.4872529870648	1.45061069184028e-06	Ataxin-2
ATXN2L	-0.587328666666675	0.0138399812661166	Ataxin-2-like protein
AUP1	-0.891740153846154	3.24532437366177e-05	Ancient ubiquitous protein 1
AZU1	4.07014971013304	7.8737979491815e-06	Azurocidin
B3GALT6	0.460547313414748	0.0769952958387494	Beta-1,3-galactosyltransferase 6
B3GAT3	0.797052929818275	0.00794404895533155	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
BABAM1	-0.987868051282055	3.95014636138275e-06	BRISC and BRCA1-A complex member 1
BAD	-0.913408820512824	0.000149466003527994	Bcl2-associated agonist of cell death
BAG2	-1.83725846153847	0.000212767922797289	BAG family molecular chaperone regulator 2
BAG6	-0.763086717948728	1.96247024939335e-05	Large proline-rich protein BAG6
BAP18	-0.725661538461548	0.00328630752889508	Chromatin complexes subunit BAP18
BASP1	-1.50648815384616	0.0209208260369182	Brain acid soluble protein 1
BAX	1.25018502564102	1.14381110267945e-08	Apoptosis regulator BAX
BAZ1A	-1.0238034871795	8.51974601636116e-05	Bromodomain adjacent to zinc finger domain protein 1A
BAZ1B	-3.51184856410257	3.39333971739059e-41	Tyrosine-protein kinase BAZ1B
BCAP29	-0.754772102564106	0.0431395121918748	B-cell receptor-associated protein 29
BCAP31	-0.456347487179499	0.0536838016439059	B-cell receptor-associated protein 31
BCAS2	-0.636213846153847	0.000732968951716146	Pre-mRNA-splicing factor SPF27
BCCIP	-1.19132610256411	0.000202890014924626	BRCA2 and CDKN1A-interacting protein
BCKDHA	-0.560443920140244	0.025920748404479	Uncharacterized protein;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial
BCL10	-0.985689948717958	0.000249478710363379	B-cell lymphoma/leukemia 10
BCLAF1	-0.519132717948725	0.0103998395978053	Bcl-2-associated transcription factor 1
BCR	-1.2122138974359	0.000125403151981863	Breakpoint cluster region protein
BET1L	-0.573722119264804	0.0783294404017555	BET1-like protein
BICD2	-0.623634871794881	0.046999617433389	Protein bicaudal D homolog 2
BID	-0.52292661538462	0.0434319527915684	BH3-interacting domain death agonist
BIN1	0.904890935328547	0.0615730109377094	Myc box-dependent-interacting protein 1
BIRC6	-0.548585641025646	0.0314498321448968	Baculoviral IAP repeat-containing protein 6
BLOC1S4	-1.31480830196341	0.000134266117148428	Biogenesis of lysosome-related organelles complex 1 subunit 4
BLOC1S5	-0.592236769230777	0.0489592682933934	Biogenesis of lysosome-related organelles complex 1 subunit 5
BLVRA	-1.51925169230771	0.00490273578564898	Biliverdin reductase A
BLVRB	-0.81063687179487	0.0687199517944246	Flavin reductase (NADPH)
BMS1	-0.701368666666674	0.00544540199147938	Ribosome biogenesis protein BMS1 homolog
BOLA1	-1.25584819743143	7.608171330737e-05	BolA-like protein 1
BPGM	1.6028718971159	0.000159960177865834	Bisphosphoglycerate mutase
BPI	1.62247718517537	0.0987814755833015	Bactericidal permeability-increasing protein
BRAT1	-1.06277810473173	0.000241586936411954	BRCA1-associated ATM activator 1
BRD1	0.976241437474446	0.000228465704325991	Bromodomain-containing protein 1
BRD2	-0.876348774669626	1.40258998954446e-05	Bromodomain-containing protein 2
BRD4	-0.980868564102565	9.47804642695952e-07	Bromodomain-containing protein 4
BRD7	-0.70283347604361	0.0134197335821368	Bromodomain-containing protein 7
BRD9	-1.11728767481747	0.0254235234778707	Bromodomain-containing protein 9
BRK1	-1.29626112820514	4.20106656025935e-05	Protein BRICK1
BROX	-0.76939656410257	0.00795140476370407	BRO1 domain-containing protein BROX
BST1	-0.86785492307693	0.0924094180541297	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
BTF3	-0.938328820512822	0.000809412085816801	Transcription factor BTF3
BTF3L4	-0.693467025641034	0.000110598501488094	Transcription factor BTF3 homolog 4
BUB3	-0.726091179487184	0.0008883506254443	Mitotic checkpoint protein BUB3
BZW1	-1.32414851282051	5.45748316175816e-07	Basic leucine zipper and W2 domain-containing protein 1
BZW2	-0.842690974358984	0.0117747679245775	Basic leucine zipper and W2 domain-containing protein 2
C10orf11	-1.077462402851	0.00364060919067547	Leucine-rich repeat-containing protein C10orf11
C10orf32-ASMT	0.425504260990802	0.0996759935614396	Protein C10orf32-ASMT;UPF0693 protein C10orf32
C11orf54	-0.595963589743594	0.0713818454210021	Ester hydrolase C11orf54
C11orf68	-1.96038348717949	3.07204714849935e-10	UPF0696 protein C11orf68
C11orf73	-0.967781230769232	0.00112719384697875	Protein Hikeshi
C11orf98	-0.982583458720395	0.00478174783726737	Uncharacterized protein;Uncharacterized protein C11orf98
C12orf10	-1.34501138461538	6.17770026972393e-09	UPF0160 protein MYG1, mitochondrial
C14orf142	-1.85061523076924	9.36295646076383e-08	Uncharacterized protein C14orf142
C14orf159	1.20080733333333	0.0139674883821641	UPF0317 protein C14orf159, mitochondrial
C14orf166	-0.814183076923086	5.40660960605214e-05	UPF0568 protein C14orf166
C16orf58	1.61143652931267	0.000112167980350002	RUS1 family protein C16orf58
C16orf62	-0.485511589743593	0.0249145242573763	UPF0505 protein C16orf62
C17orf59	0.410138923076923	0.0545005180367759	Uncharacterized protein C17orf59
C17orf62	-1.43089492307693	3.1979010415885e-05	Uncharacterized protein C17orf62
C17orf85	0.498300153846149	0.0220695874671555	Uncharacterized protein C17orf85
C19orf52	-1.3137384789572	1.82652035612599e-05	Uncharacterized protein C19orf52
C1orf123	-1.22370451282051	5.74669266449706e-09	UPF0587 protein C1orf123
C1orf52	0.921457413127186	0.032427646202518	UPF0690 protein C1orf52
C1QBP	2.30131384615384	1.39576996598426e-15	Complement component 1 Q subcomponent-binding protein, mitochondrial
C20orf27	-1.82359943589744	0.00015411807882394	UPF0687 protein C20orf27
C2orf47	-0.547243897435903	0.00534973402044999	Uncharacterized protein C2orf47, mitochondrial
C2orf49	0.678459497402208	0.0597957490447079	Ashwin
C3	-1.87464369230769	0.0365505129412972	Complement C3
C4orf27	-1.10253810256411	0.000137963115399226	UPF0609 protein C4orf27
C5orf51	-0.697868566218277	0.0572842729072381	UPF0600 protein C5orf51
C8orf82	1.18710638094392	0.00102253080950713	UPF0598 protein C8orf82
C9orf114	-0.68183540984931	0.00953900279040456	Putative methyltransferase C9orf114
C9orf64	-1.40892435897436	2.51740844557728e-05	UPF0553 protein C9orf64
C9orf78	-1.29839619784017	8.47441103910019e-05	Uncharacterized protein C9orf78
CA2	1.47281851282052	0.0316186091016218	Carbonic anhydrase 2
CAB39	-0.537172410256421	0.0270384901543311	Calcium-binding protein 39
CACYBP	-1.21363374358975	0.000462519403404779	Calcyclin-binding protein
CAD	-1.53394892307693	1.15921379253967e-13	CAD protein
CAMK1	-0.838509890085877	0.0622781824659571	Calcium/calmodulin-dependent protein kinase type 1
CAMK2G	1.88351361965507	9.07107250591132e-16	Calcium/calmodulin-dependent protein kinase type II subunit gamma
CANX	1.35243374358975	1.28260847151094e-07	Calnexin
CAPRIN1	-1.53153712820514	3.64626281348297e-11	Caprin-1
CAPZA1	-1.60971323076924	9.59342450468824e-11	F-actin-capping protein subunit alpha-1
CAPZA2	3.24465266666666	7.34788549616249e-29	F-actin-capping protein subunit alpha-2
CAPZB	0.782953487179491	0.000195200591047334	F-actin-capping protein subunit beta
CARHSP1	-1.14815446153847	9.31025542041787e-05	Calcium-regulated heat stable protein 1
CASC3	-1.29946522299119	6.09127077096336e-05	Protein CASC3
CASC4	-0.866486828264987	0.000918624877490091	Protein CASC4
CASK	-2.78097623009147	3.51287077295421e-17	Peripheral plasma membrane protein CASK
CASP2	-1.21678502454884	0.000343249650805171	Caspase-2
CASP3	-0.969091025641035	0.00313454997603643	Caspase-3
CASP4	-1.2860993571195	1.91360835161159e-05	Caspase-4
CASP6	-0.759590358974364	0.0227965784693973	Caspase-6
CASP8	-0.750491794871811	0.010008457559656	Caspase-8
CAST	-1.32682707692309	0.00139771133194544	Calpastatin
CBFA2T3	-2.2423752382875	1.80178439924721e-08	Protein CBFA2T3
CBFB	1.10186702564102	3.25016054495274e-06	Core-binding factor subunit beta
CBLL1	-0.818657296315759	0.00764952327079524	E3 ubiquitin-protein ligase Hakai
CBR1	-0.5575658974359	0.0680182365903158	Carbonyl reductase [NADPH] 1
CBR3	-4.46354009125385	8.89792184098655e-27	Carbonyl reductase [NADPH] 3
CBX5	-0.784511025641031	0.00275138328609569	Chromobox protein homolog 5
CBX8	1.01327916054778	0.00859922427295388	Chromobox protein homolog 8
CCAR1	0.485568205128196	0.0070414149488347	Cell division cycle and apoptosis regulator protein 1
CCAR2	-0.401410974358978	0.0382307299866383	Cell cycle and apoptosis regulator protein 2
CCBL2	-0.903771076923086	0.001231023747034	Kynurenine--oxoglutarate transaminase 3
CCDC101	-0.704554494734552	0.0273879568198786	SAGA-associated factor 29 homolog
CCDC12	-0.99485420512821	0.0295155477291269	Coiled-coil domain-containing protein 12
CCDC124	-0.954854051282055	4.89831854631326e-06	Coiled-coil domain-containing protein 124
CCDC134	-1.30180668825759	0.000510492413192247	Coiled-coil domain-containing protein 134
CCDC22	-0.775654455077984	0.000112237489620073	Coiled-coil domain-containing protein 22
CCDC37	-2.09448338461539	0.0163925308940376	Coiled-coil domain-containing protein 37
CCDC43	-0.924006615384622	0.00176907514223013	Coiled-coil domain-containing protein 43
CCDC47	-2.14445323076924	9.30828892016717e-19	Coiled-coil domain-containing protein 47
CCDC51	-0.598137435897442	0.0453705951699155	Coiled-coil domain-containing protein 51
CCDC53	-1.38475456410257	5.69759501446433e-07	WASH complex subunit CCDC53
CCDC6	-0.813417076923084	0.00083326301128206	Coiled-coil domain-containing protein 6
CCDC88A	-1.79580820512821	2.50093163505009e-10	Girdin
CCDC91	-2.32431038826005	5.56652313262159e-09	Coiled-coil domain-containing protein 91
CCDC94	-2.57415481979874	4.70440559857769e-15	Coiled-coil domain-containing protein 94
CCDC97	-0.506145401890377	0.0516689417609492	Coiled-coil domain-containing protein 97
CCNK	0.382021076923074	0.090158697645221	Cyclin-K
CCNL1	-1.00538412658818	0.027212722593278	Cyclin-L1
CCT3	-0.624341487179493	0.00278512103186618	T-complex protein 1 subunit gamma
CCT4	-0.684226256410259	0.00137983046919407	T-complex protein 1 subunit delta
CCT5	-1.36218682051283	2.44995519261152e-09	T-complex protein 1 subunit epsilon
CCT7	-1.43980112820513	1.69631912572791e-09	T-complex protein 1 subunit eta
CD14	-2.28541974057531	0.00560740264683852	Monocyte differentiation antigen CD14
CD2BP2	-0.644718410256413	0.00340100525935077	CD2 antigen cytoplasmic tail-binding protein 2
CD44	0.702546769230764	0.0236084342492433	CD44 antigen
CD59	2.62361233482833	0.000233059509646493	CD59 glycoprotein
CD63	-2.15152128205128	0.00109354827115962	CD63 antigen
CDC27	-2.03825777248358	1.17565411953827e-10	Cell division cycle protein 27 homolog
CDC37	-1.28282938461539	3.62950726533387e-08	Hsp90 co-chaperone Cdc37
CDC40	-0.321896666666674	0.0670363885524642	Pre-mRNA-processing factor 17
CDC42	-0.544406820512826	0.0568294094540043	Cell division control protein 42 homolog
CDK1	-2.38820600000001	1.12675355550855e-10	Cyclin-dependent kinase 1
CDK2	-0.803738079875345	0.0395457727625409	Cyclin-dependent kinase 2
CDK5RAP3	-0.456397641025644	0.0149507593140133	CDK5 regulatory subunit-associated protein 3
CECR1	-1.3086478974359	0.0245564833500945	Adenosine deaminase CECR1
CECR5	-0.85640497435897	0.00566182379148871	Cat eye syndrome critical region protein 5
CELF1	-1.65229767552767	0.00219312698606455	CUGBP Elav-like family member 1
CELF2	-0.872852974358985	0.00206753840610565	CUGBP Elav-like family member 2
CEP128	-3.06473968338934	9.01668555034155e-13	Centrosomal protein of 128 kDa
CEP131	-3.24409346434259	2.72879598992569e-16	Centrosomal protein of 131 kDa
CEP170	-3.07371394871795	8.93020785050746e-21	Centrosomal protein of 170 kDa
CES1	-3.66712918797442	0.000220878139101531	Liver carboxylesterase 1
CFL1	0.938858307692307	0.00190308686956951	Cofilin-1
CGGBP1	-0.558091743589742	0.00561011355738635	CGG triplet repeat-binding protein 1
